肖申克的救赎 The Shawshank Redemption,9.7,全部 345005 条,"“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。
当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？
经典的电影之所以经典，因为他们都在做同一件事—...
Fear Can Hold You Prisoner, Hope Can Set You Free
人的生命不过是从一个洞穴通往另一个世界..然后在那个世界的雨中继续颤抖.i hope
一部没有爱情与美女的电影,却光芒四射
Hope is a good thing, and maybe the best thing of all."
霸王别姬,9.6,全部 278396 条,"他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。
不解,拍出过霸王别姬的人怎能拍出无极来
就凭这个，我愿意原谅陈凯歌一切的烂片 你只要伟大过一次就可以了 就凭这个 哥哥你是我心中永远不朽的传奇 你是全世界最大的角儿
程蝶衣，和《海上钢琴师》的主角，都是一类人。
蝶衣于台上贵妃醉酒，头顶忽撒下无数抗日传单。灯骤灭，台下喧哗。没有人再顾及台上的贵妃。唯有蝶衣，继续着未尽的绝美舞步丝毫未曾停滞。一片混乱之中，也唯有四爷，独自于楼上包厢继续丝毫未曾分神。看到这里感动的一塌糊涂。结尾处“我本是男儿郎,又不是女娇娥”真的落泪了。纯粹坚持的2人去了"
阿甘正传 Forrest Gump,9.5,全部 221426 条,"Mama always said life was like a box of chocolates. You never know what you're gonna get.
you are my girl.

重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。
十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。
又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。"
这个杀手不太冷 Léon,9.4,全部 270617 条,"我开始想要过得快乐，睡在床上，有牵挂
Leon的门打开，一束好象来自天堂的光照在Mathilda脸上。给他快乐，从不发问。细节和大方向都很出色，一部控制得几乎完美的电影。
我没啥感觉的公认好片。
看到泪飙，世上最温情的杀手。
幸运的姑娘在12岁就遇到了真正的男人。

我到哪里找，像你这么好。"
美丽人生 La vita è bella,9.5,全部 190121 条,"如果谎言可以这样美丽，我也情愿生活在谎言之中
喜剧的开始，悲剧的结束，
满满的亲情，无限的父爱
即使是悲惨世界,也要大大的笑着.
世界上最美丽的谎言与微笑。Surprise her, forever!
三刷了。记得上学时跟父母吵过，中国的父母经常想让小孩相信这世界的丑陋，而国外的父母即便身在地狱也要让孩子相信在天堂，让他们开心的活着，你们为什么要让我的童年的这么痛苦。哈哈，大概就是受这剧影响吧。"
泰坦尼克号 Titanic,9.4,全部 204348 条,"永远是我在电影院所看过最好的电影
一部应该被记住的电影.
你不能否认，它就是个传奇 
学校组织放映的影片，大家好像对rose和jack恋爱过程猎奇，但是让我感动的一幕是轮船将要沉沦，海上乐队的绅士们整理领结，肃穆庄严的弹奏最后一曲，那一瞬间，仿佛听见一首镇魂曲在响彻。
看了四遍，最后一次也是五年前了吧。不知再拿出来重温的话，会不会嚎啕大哭，像小学那时一样。 1998，5"
千与千寻 千と千尋の神隠し,9.3,全部 254877 条,"有那么那么经典吗？还是我老了？
一个寻找自我或者自我复苏的过程
我与猪都认可的片儿。
隔那么多年再看，还是会二话不说就爱上温柔的白龙，还是会被无脸男捧出的一把木牌打动，还是想坐在阁楼上边吃豆包边看电车从海上驶过，但是……再也说不出“想留在那样的世界再也不出来”的话了！愿幻想的世界里没有工作！
话说千寻现在也28岁了啊，不知道有没有和白龙重逢，如果按好故事的标准，应该是没有吧？她大概已经变成了普通的上班族，每天搭末班电车回家，只是在路过每一条河流时，会想起少女时曾经爱过一条龙。
宫崎骏没有迪斯尼那么花哨 甚至有些落伍 直到现在 他还坚持用手工绘画而不是电脑绘图来完成自己的卡通片 但他懂得一部卡通片 或者一部影片 应该用什么去打动别人 所以 宫崎骏笔下的形象是一个个人 而不是一个个没有知觉的卡通形象 "
辛德勒的名单 Schindler's List,9.5,全部 109538 条,"印象很深刻的是黑白画面中的红色。
这不止是剧情，更是技术、镜头、剪辑、演技和配乐的综合胜利。表达是一出技巧活，不以剧本和背景定优劣，这一切都是导演的功力和运气造成，不可求，但可遇——《辛德勒的名单》可谓厚积薄发。而实论背景，辛德勒本人之事尚存争议，电影却已在全世界人面前诠释并且定性了，由此可见媒体的影响之大
不仅仅是犹太人，而是整个人类的悲剧。
救人一命等于救全人类。集中营进得来，出不去，除非你从焚尸炉的烟囱里爬出去。
斯皮尔伯格，犹太人，世界最著名的导演之一，他通过黑白映像把第二次世界大战中德国纳粹犯下的滔天罪行传播到世界各地，那段对犹太人灭绝人性的杀戮终于大白于天下。
苍天悲悯，辛德勒名单内是生命，外是死亡，他为此倾家荡产，1100犹太人得已生还，也记住了辛德勒这位伟人。
"
盗梦空间 Inception,9.3,全部 258982 条,"1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
我的陀螺停不下来了。
我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞
确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。
列奥纳多干完这票肯定是要去Shutter Island修养一阵了。"
忠犬八公的故事 Hachi: A Dog's Tale,9.4,全部 195661 条,"八公的主人，也在天堂的门口等了它很久吧。
Hachi就是爱一个人过一生了。
这真是漫长的一生啊，八公。
天呐我从后半段开始一直在哭 为什么面对这么居心不良的赚眼泪煽情电影我还是被套牢了！我马上要给我家小羊皮一个热烈的大拥抱！！！
....明早眼睛又肿了"
海上钢琴师 La leggenda del pianista sull'oceano,9.3,全部 223769 条,"如果我把吉他练熟了，就可以不用买打火机啦
又是一定该看的，只在自己的世界里坚持自己的人．哪怕生命就这样消逝．只留下一点声音的碎片，１９００，也许我们都一样害怕脚踏实地的生活，害怕乌烟瘴气的世界．
海上乌托邦
在船上出生，在船上死亡，他是一个从来没有存在过的人。
第一次放弃下船，他放弃了财富和名气。
第二次放弃下船，他放弃了生命。
人们把音乐当成一种比赛，他不在意虚名和输赢。
人们想利用他的才华致富，他不愿意让他的音乐离开他。
人们浪费了太多的时间去问“为什么”，他想活得简单点。
宁愿一生孤独，不愿随波逐流。
人可以下船，但是不能离开大海。
每个人的心中都有一片海，而他的大海是音乐，是钢琴，是那个女孩。
我想有些东西只是能在特定的环境下生长。当环境变了，其他的一切都会变。"
机器人总动员 WALL·E,9.3,全部 150853 条,"很久没看过这么可爱的动画片了。瓦力什么都不会说，除了那一声声执拗的：Eve！他们在星空画出美丽的弧线，他们无意间守候了一份真正的爱情。
没有引进真是太遗憾了。
堪称完美的动画作品。
到底有多少人是因为《机器人总动员》这个烂译名错过它的！太出色的一部动画了，你找不到替代品的。默片，看似简单又非常复杂的设计，怎么那么棒，那么感人。
有那么一丝感人，但在皮克斯里不算最精彩的，是属于那种背景深刻剧情简单的片子。但是豆瓣咋能有那么高的分- -。"
三傻大闹宝莱坞 3 Idiots,9.2,全部 243434 条,"【温馨提示：请忽略这傻逼名字.不然你会错过一部好电影】1、病毒的鸟巢飞来了一只自由之鸟；2、Ta有没有告诉你,朋友就是给你一枚硬币教你自己独立做出选择的那个人.这个人才是你最大的财富 ：）
活在当下，不记得失，以无为之心做有为之事，你收获的会是比物质更珍贵永恒的生命体验。
如果有一天你变成了奇怪的家伙，生活于恐惧和虚假之中，就念重生的咒语“All is well”，狠狠地给这个世界一脚！对鼓励别样人生价值和给人梦想的片子我是举双手赞成，何况从头到尾都拍得这么欢乐。台词：“朋友是男人最大的胸部”、“你这么害怕明天，又怎么能过好今天”。
第一次完整看完一部印度片。中国不如。
你们都说好看，我也就觉得一般般"
楚门的世界 The Truman Show,9.3,全部 188247 条,"“如果再也不能见到你，祝你早安，午安和晚安。”
看的时候甚至有种绝望的情绪，这个世界有时就是这么的令人无助
不止一次的怀疑所有人都在演戏，而我却蒙在鼓里
换句话说，他的生活就是真实的生活，如果什么也没出现什么也没发现。再换句话说，所有的配角被迫清醒地站在这个虚拟的边缘，吃喝拉撒24小时待命，意识到此刻的高潮被以亿计算的人类消费着，除此之外生活的区别只是没有摄像头对着，不用去区分真或假。精神病和真实一线之隔。坚持到底你就赢了。
当你望着深渊的时候，深渊也在回望你。楚门之外的世界，又会有怎么样的窥探？最怕的是，我们永远无法求证自己身处在哪个世界。"
放牛班的春天 Les choristes,9.3,全部 141771 条,"一个孩子在启蒙时期，能够遇到一位好的老师，真的是一件非常幸运的事情。
莫翰奇每一次独唱我都热泪盈眶.
看到激动地直起鸡皮疙瘩，看来总有那么一种类型的东西能感动本人
男孩的声音真是好听……
马修先生好可爱。"
星际穿越 Interstellar,9.3,全部 235799 条,"诺兰说：如果我活得够长 那么豆瓣TOP250就被我承包了。
我想给100颗星，这可能是我至今看过最令我震撼的电影了。到电影结束时候还不断流泪，奇迹不是因为有上帝 也不是有什么不可知的 某种力量，正是我们自己，人类不相信人类的力量把那些我们无可预知的奇迹都认为是上帝的功劳。若兰把我的世界观如此震撼人心的展现出来，我感觉我现在都激动得语无伦次了
三体迷们不用担心电影版会拍的稀烂啦！章北海船长，面壁人希恩斯，高维碎片，青铜时代和万有引力舰太空大战，冬眠和星际航行，三体世界的荒芜，高维世界的样貌，云天明的童话，诺兰新作中一次性看完！#刚刚看完星际穿越interstellar，感觉自己萌萌哒#
赶着首映翘课去看了imax版。诺兰一直在围绕人物内心讲故事，配上宇宙孤独梗，目瞪口呆或许是夸张，但泪流满面了几次绝对是事实。很多宇宙中的片段没有背景音乐，全场安静地如梦如幻。影片结束后随着观众鼓了掌，能和这样出色的人类活在同一个时代，的确是我的幸运。 期待影片明年多拿到几个提名
以地球全部北京化（咦？）为背景的近未来硬科幻，对虫洞、重力和时间维度都有新颖的理解，刻画的浩瀚宇宙让人目眩。可惜诺兰的野心太大（真的是bigger than bigger！），而且把人性拔那么高，到最后就成太空神棍片了..."
大话西游之大圣娶亲 西遊記大結局之仙履奇緣,9.2,全部 152924 条,"一遍烂，两遍笑，三遍哭
经历过和正在经历着悟空式的命运和紫霞式的爱情，才发现生命的本质是以最低的姿态出现的。英雄？你为什么不问问做英雄的代价？  
“想不到经过这五百年，我要找的并不是她，而是你。”人生际遇真是难以言喻。
我猜中了开头，却猜不到这结局。/ 20141024 在影院哭死
年少时特别不喜欢周星驰，觉得瞎搞，觉得脏乱差，但长大之后，每看一遍就难过一遍，每看一遍哭一遍。他真是在这里说尽了爱，说尽了责任，说尽了人世种种无奈无力
盗用一句黄姐姐很喜欢的管风琴，""人能这么锲而不舍地轻佻，骨子里一定有哀世伤生的肃穆在支撑。"""
熔炉 도가니,9.3,全部 136488 条,"這個世界的絕望在於，眼睜睜地看著那麼多的不公不平每天都在身邊發生，自己再怎麼努力卻依舊無可奈何；而這個世界的希望也在於，明知是蚍蜉撼大樹，卻還是有那麼一群人執著地選擇了這一條艱難而幾近不可能的路。
。。。套用 被嫌弃的松子的一生 里面的一句话：生而为人，对不起。
大概只有套用《让子弹飞》里的一句经典台词才能略为表达我看完本片时的心情——震撼！震撼！！还是TMD震撼！！！我可以理解部分人站在纯粹艺术的角度对这部电影技法上的乏善可陈评头论足，但是我无法相信有人面对它由始至终散发出的那股震撼人心的力量时居然能做到完全无动于衷。
令人绝望的不是电影，而是生活本身。
一个文科生，每天背着政治生活，背四项基本原则我国的国体公民的权利。亲眼看着热搜被撤下，视频被删除，三种颜色消失不见。豫章书院还存在，赵V再也没有人提及，国乒事件最后化为一题选择题。熔炉的故事真实发生在我所在的国度。“我们一路奋战，不是为了改变世界，而是为了不让世界改变我们。”"
疯狂动物城 Zootopia,9.2,全部 229066 条,"树懒太他妈好笑了！！那两分钟我嗓子都哑了！！卧槽！！真是太他妈好笑了！！
无论是人设，世界观，动画制作，还是剧本，都挑不出毛病来啊啊啊！！细节多到爆！！好幸福！！！！>w< 最难能可贵的是配角们的人物性格和形象设置都非常饱满（教父梗好惊喜>< ） 虽然是动画，但是剧本还是隐射很多人类社会的种族问题，以及政治两党上位之争的问题。另外我狐Nick的眼神是在太苏了TwT...
完爆冰雪超能头脑，动物再次证明了动画片不止是给小朋友看的，而是全年龄段和世界级的，尖端数码特技、新意剧情、老梗新用搭配萌Q画风，乌托励志、搞笑温情、自然销魂、阴谋反转，用动物来映射人类，涉及种族歧视和两党斗争，无论从制作技术还是政治倾向或是社会意义来说，基本锁定今年奥斯卡最佳动画
故事流程对小盆友来说不艰深对大盆友也不无聊。树懒那段，跟法国公务员打过交道的都会心一笑。兔子的微表情做得很棒。然而对所有的群体标签统一嘲讽的结果就是下意识也贴了标签（比如狐狸必然聪明却捞偏门，兔子一定是繁殖癌，猛兽全是雄性，etc）。最后，可惜世界不是一部迪斯尼出品的动画片。
赞 看完赶脚世界都美好了"
无间道 無間道,9.2,全部 111911 条,"我还是不能理解为什么美国人可以这么无耻直接拿本子过去拍出烂片还得了奥斯卡但是不给这部片子正名?
最后那一下爆头，刘德华和梁朝伟的眼神里都是震惊，他死在电梯里，电梯门来回的开关，我们也从震惊中恢复，觉得残酷，谁说的，好人有好报，那些为民除害的，都死了。会有人惦记着他们吗？把他们视为英雄吗？又有什么用呢，这个社会还不都是恶人当道。
看刘德华演戏好累
一气呵成。梁朝伟的眼神令人揪心。
经典港片，无间道，如人生~~"
龙猫 となりのトトロ,9.2,全部 148475 条,"如果你在下雨天的车站，遇到被淋湿的妖怪，请把雨伞借给它，你会得到森林的通行证哦
摸摸龙猫的鼻子胡须就会颤动起来哦=w=……看见斜眼偷瞄逃跑的小白一定要跟上去！ 童话总是在相信它的人心中真实的存在着，想起来的时候心中就会充满温暖守护的力量
宫崎骏最感人的一部，初看平平无奇，回味一下痛彻肺腑。
简单奇妙的故事、可爱的人物造型，除此，没有太多打动人心的地方。
因为缺少重看的观影经历，又被那套网络上的都市传说所影响（已辟谣），一直在疑心，年少时，是不是真有遗漏掉关键信息。得益于二十年后的重映，大银幕上重温，依然觉得是个单纯无比、被孩童想象所充盈和浇筑的成长故事。里面有美化过后，昭和年间的田园风貌回忆。樟树王、老房子、水稻田、乡间小路和巴士车。 小孩子能看见龙猫，自然是关于童心无邪。除了制造人类与大自然的连接，更多是因为，小孩子才能看见美好、已经失去的东西..."
教父 The Godfather,9.3,全部 97102 条,"to所有男生：别想太多。你们都不是马龙白兰度，不是阿尔帕西诺。
无论阿尔帕西诺多卖力，教父也只有一个，那就是永远的马龙白兰度。时代不一样，要走的路不一样，所以那个黄金时代，讲义气重家庭谈承诺的时代，永远回不去了。
科波拉是有厌女症吧？这片子里的女人要么圣母得让人恶心，要么就傻逼得遭人烦，除了哭哭啼啼就是无理取闹。最后一个镜头，麦克成为新的教父，一道门隔开他的妻子，不是没有理由的。这是一个男人的世界。相对来说我最喜欢医院里那场戏，拍得相当有张力，第一场婚礼戏也喜欢。
平缓的节奏蕴藏着巨大的权威和张力，音乐舒缓淡淡忧伤，利益博弈人性冲突。无论是演技还是镜头、音乐的运用，都给人以一种美的享受。而看这部电影是极其需要沉下心来细细品味，也无论何时翻出来重温都能有新的感受。★★★★☆
聪明的女人不会去揭穿男人的谎言，聪明的男人不会让女人知道自己在说谎。"
当幸福来敲门 The Pursuit of Happyness,9.1,全部 153174 条,"如果能让自己不再为光阴被虚度，才华被耗尽而流泪，如果能让自己坚定，“我不要似是而非的人生，我要自己做的每一件事都刻骨铭心”，那么这场狂热便是得其所，记住这永远不是最差的人生。
虽然是个好莱坞励志片，但真正让我感慨的其实是，穷人想要翻身，真是太难太难了，他们大多数不是不努力工作，但确实是一根绳子勒在脖子上，压根没有喘息的机会，而且他们的孩子从出生下来就没有，毕竟不是每个穷人家的孩子，都足够幸运能有这么顽强，比别人聪明十倍的爸爸啊。
孩子母亲颤抖着说你会照顾好他；
装扮成时光机器来安抚孩子，子夜洗手间中独自哭泣；
“你是个好爸爸”，孩子说。
看电影的时候，我的手经常不自觉的紧握着，为那揪心的困窘。
幸福在这里敲门了，可是那些没有被敲门的人呢？
有点失望...感觉是为了励志而励志......要不是导演和演员功力，就沦落成俗套励志片了......
除了幸福 什么都能放弃 一定要幸福 和自己喜欢的人在一起 做自己喜欢的事"
怦然心动 Flipped,9.1,全部 266127 条,"我看完后也对这女孩感触特别深，她独立而勤劳，恪守自尊但又不敏感到浑身长刺，正像邦妮另外一条说的，没有那个男孩，她也会生长得很好。对于成长电影来说，它对孩子和家长都很有教育意义，不论面对挫折还是爱，它都有非常正向的可贵的价值观。
当你喜欢我的时候，我不喜欢你；当你爱上我的时候，我喜欢上你；当你离开我的时候，我却爱上你；是你走得太快，还是我跟不上你的脚步……
篮子男孩，好萌的活动，怎么我们学校以前没有啊！
Flipped，怦然心动，喜欢这个翻译的片名，就像第一次看到那棵树上的美景，就像第一次看到你闪亮的眼睛，那一瞬，就莫名心动了
太好看了！十星推荐！就是太短了呀！！！！！！"
触不可及 Intouchables,9.2,全部 145648 条,"音乐真棒，看到最后有些意犹未尽。很舒服的电影，故事有趣又会带些感动。两个完全不同世界的人，因为教育、知识、习惯等各种不同造成情节冲突及笑料；而彼此的影响和同化则是感动的部分。对于菲利普来说，有时需要的未必是小心翼翼的服侍，而是像对待普通人一样的无歧视对待。
对残障人士最大的尊重，就是不要把他们当做残障人士。尊重比爱和同情心更高等级
毫不基情的友情片！
某个人在不经意间走进你的生活，他和你不同阶层，不完美，甚至有不少讨人厌的毛病，但是长期的相互信任和理解成就了一段真挚友情，也给两个人的生活都带来了阳光。把德瑞斯的原型改成黑人使对比更强烈情节更戏剧化，也让这段超越种族的友情更感人。影片里乘着滑翔伞在山谷中翱翔那幕太美了……
就像Ludovico Einaudi的钢琴配乐，古典，氛围，轻易就可以打动人心，我对于此人的印象，还停留在【这就是英格兰】电影原声阶段。欢乐和温情并存的法式温情喜剧，台词很精准，刻画人物的同时还让人捧腹，力道精准，火候尚佳，这应该就是点到即止的魅力！高雅和喜剧细胞还真不是随便就能学来的。★★★★"
蝙蝠侠：黑暗骑士 The Dark Knight,9.2,全部 112846 条,"好到一秒钟都不曾浪费
大片中很有内涵的一部，不管是人们心中暗自涌动的对小丑疯狂灭世主义的不安的共鸣，还是对蝙蝠侠孤独暗夜行走的英雄惜英雄般同情，其实都是人们对这个世界失望的一种情绪释放。其实小丑说的很对，他和蝙蝠侠很像，都是异类，只不过蝙蝠侠把痛苦留给自己，顽固地去坚守一丝信仰，而小丑把痛苦还给世界。
赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼
Batman是最不漫画的漫画英雄，也正因为这一点，使之最有可能成为跨越犯罪剧情片和漫画英雄片界限的特例。而这一次，编导精准的抓到了这一点，把这部电影打造得丰富严谨又酷劲十足，无论是满足视听还是人性复杂层面的挖掘上都做到了堪称完美！
绝对是杰作，大陆上不了院线在广电的耻辱柱上划了浓墨重彩的一笔～"
控方证人 Witness for the Prosecution,9.6,全部 69934 条,"好片遇上好字幕~爽
当结尾旁白说“影院友情提示，为了保证您没有看过这部电影的朋友，有机会获得更大观影乐趣，请您不要像任何人透露这部电影的结局”时，真爽，这个电影真是骗足了同情心，飚足了演技，压足了节奏，然后唰唰大释放。一场英国男人和德国女人之间爱情与欺骗的故事，现在才看，对不起比利·怀尔德老人家。
阿加莎·克里斯蒂的精妙情节配上比利·怀德的风趣对白，以及查尔斯·劳顿、玛琳·黛德丽、泰隆·鲍华等人的精彩表演，几近完美的电影。不老的玛琳·黛德丽，又被感动了，真棒。
Marlene Dietrich 的气质与片子并不十分切合啊，此时的她居然56岁了，难以置信！
满分！无法形容的精彩！怀德和阿加莎的完美结合，猜了几次凶手都没中，我还真是。。。马琳黛德丽已经56岁的人了还那么美，果然是remarkable。演员都极其出色。太精彩！"
活着,9.2,全部 102981 条,"年代记实录，看了让人不舒服，特别是里面的台词，虽然他们在拼尽全力的活着，可是却又显得如此可笑和悲凉。“小鸡长大了就变成了鹅，鹅长大了就变成了羊，羊长大了就变成了牛，牛长大了就是共产主义了。”
个人认为是张义谋最好的电影。
一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。
中国不是没有好电影，而是真正好的电影没有在这个社会喘息的余地。竟沦落至此，天涯同道，难语归途。友庆死掉的那段，泣不成声，不忍卒读，他们逃不过。
从一开始不可能让人哭，我就哭得一塌糊涂，因为这部片，又不全是。"
乱世佳人 Gone with the Wind,9.3,全部 87936 条,"整整4、5个小时啊，看到我中途昏死了过去。郝思嘉最后的那句“tomorrow is another day”鼓励了多少脑残志坚的女性呀！（包括我在内）
Tomorrow is another day. 又一句该死的经典台词。
Clark Gable你真是每一个女人都会梦想得到的男人
艾希礼的年龄和长相确实是个问题，我怀疑盖博当初签合同的时候是不是要求所有男演员都必须找比他难看的
看完斯嘉丽那么瘦小的身躯，却承受着那么大的压力，都能顶的住。真的感觉不到什么叫困难了，第二天去考试奇迹般的过了。。"
末代皇帝 The Last Emperor,9.2,全部 91594 条,"有史以来一部最地道最出色的中国电影，居然，Made By Italian～
尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。
我觉得对于一个外国人拍的中国人物传记来说，它最可贵的不是那些对比强烈的色彩和镜头，而是他的态度，他对这个人物的理解，他并没有评判什么但是他把故事默默地摆在那里，到结束，你会一时觉得心情复杂，而且更重要的一点是，电影里不仅仅塑造了溥仪一个角色，而是通过细节也讲述了围绕着他的一些人的沧桑，这对于一个外国人来说，我觉得异常珍贵。虽然还是有些次要人物显得有些脸谱化，呵呵。。。CC版本，3小时38分。。。
贝托鲁奇镜头下的中国始终是存在于他想象中的红色国度。电影拍得过于西化了，但讨巧的用溥仪的命运承载了近半个世纪中国的变迁，进而阐释了人与命运对抗的古希腊悲剧主题。如果说人的一生是不断失去的过程，溥仪无疑是失去最多的，因为他曾经拥有整个中国...
神作。三个小时完全不觉得长，没有一个镜头是浪费的。有人觉得这个电影太过魔幻主义。但那个时代， 这群人，不用魔幻现实主义的镜头怎么能体现的出来！尊龙太美，绝望之极时眼神里也有傲气。只可惜时代弄人。最后蛐蛐的隐喻太太太太太贴切又催泪。"
