电影名,评分,评论数,热评1,热评2,热评3,热评4,热评5
恐怖直播,8.8,420729人评价,这种题材的电影有漏洞在所难免，但韩国电影能做到这一步值得称赞，几乎是一间房子中的故事，格局却相当大，节奏紧张，剧情张力太强，舆论、媒体与政治的黑洞令人反思，结尾比搏击俱乐部还激进，美国估计都不敢拍，但韩国敢拍能拍。河正宇的独角戏太强大，五星。,一个人怎么能成为国家公敌！结局是必然的  棒子能拍出这种电影让人震撼的 ps:韩国的电影审核制度真宽  这要是在天朝...哈哈,奶娘的，看得老娘热血贲张！！！让你们道个歉怎么就这么难！！！尤其是广播局长说完“刚刚收视率达到了78%，收工后一起喝个酒吧。”然后转身就走的画面，真的想一棒子敲死丫的！！人命如草芥，这电影就是说的天朝啊！！,故事敏感，扣人心弦；节奏紧凑，毫无尿点。又一场封闭空间里个人表演的精彩呈现，又一次感受韩国犯罪题材影片所带来的冲击与震撼。政治的阴暗、媒体的嘴脸，这些元素如此熟悉，然而每次出现都不会觉得厌倦。如果是你，将会作何选择？,我已经把拿这个片和搏击俱乐部瞎比的人全都拉黑了
菊次郎的夏天,8.8,341345人评价,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,充满爱的北野武 有点木讷总是低着头的小男孩正男 细节总是让人感动和莞尔 在久石让美好的配乐中最后才恍然大悟 原来他才是是菊次郎呀,相比久石让的音乐，影片相形见拙。电影像是《中央车站》+《完美的世界》的结合，不同是《菊》以小清新喜剧基调和章回体叙事呈现，主角的可爱流氓性格，自始至终赋予影片乐观积极的情绪操控，即便孩子遇见母亲后主题仍能迅速回到积极一面；缺点是一些幽默元素是强加进去的，看似自然却不真实。,爱有很多种~跟一个流氓过暑假会有这么好,讲述一期一会的电影，即使是在炎热的夏天却让人感到清凉和温暖，真正的笑中带泪。碎片北野武，好心的菊次郎先生~
幸福终点站,8.8,363087人评价,我在维克多身上看到了阿甘的影子~~,太好看了，欢笑过后大大的感动。,"泽塔琼斯还是动人啊。汉克斯还是牛啊。
（跟小白在新居里看的第一部，明珠台）",hanks真棒。。。一個人在機場如何度過一年，還是爲了家人,机场如同荒岛，还原了一个本真而奇妙的孤绝求生状态。语言不通货币没用失去了祖国的庇护，真正孤家寡人的感觉。最近重温经典老片子，感到动人的故事的张力，剧情由故事推着走，而不是电影由人推着走。很喜欢这种难以预测下一秒会发生什么的感觉，孤绝的机场反而有种温情大家庭的感觉，只是三观太正了。
爱在日落黄昏时,8.8,336571人评价,年轻时候看得汗毛都竖起来了。。这种句句台词都让你觉得“我也是这么想”的电影有这么一两部就够了 @20岁春,浪漫邂逅，偶然错过，久别重逢，物是人非……祝你们最后上床了,好的不得了的对白,这大概是最好的结局了 （剧本真不赖…,能把两个人一直在叨叨的戏调度得这么好，层层推进的节奏把握得当，真是了不起。两个人的表演炉火纯青，一开始的互相闪躲、欲说还休，到后段的互相怜惜和自怜都拿捏得非常细腻，这片子好看。
超能陆战队,8.7,664110人评价,我知道大白已经萌到你什么都可以不在乎了，它就像一朵美丽的塑料花，一桶异常甜腻的爆米花，萌到犯规的片子，加上工整成熟的剧作，就算是像现在这样，没有什么新鲜的俗套，依旧是用来打发时间的首选，它很像漫威电影的动画版，完全是一个套路，可惜我对这类片子从来都没什么好感。★★★,好想戳爆胖子看会发生什么……,又是一个故事平平只靠细节讨巧的动画，但是没办法，就是超级吃这套啊！！,3.5 气球人真是很可爱，比那个贴胶布条的片段还要可爱！感觉短腿要开始流行了。但故事整个太模式化了，情感简单粗暴，感觉自己是婴儿，被喂了一套营养均衡的婴儿餐似的... 整个城市设定让人有点想看日语吹替版...,史上最萌胖子诞生！要抱抱！彩蛋里的斯坦·李也是蛮拼的！
无人知晓,9.1,174421人评价,"艾小柯写的：两个十几岁的孩子，白衣服上沾了泥巴，迎着微曦的曙光，在空旷的早晨一语不发的从黑暗走向黎明，耳边响起的是《珍宝》的歌声：“姗姗来迟的春光，让人深吸一口气……我逐渐成长，没有人可以亲近……”——这段情节最美了 
",意识到yuki已经死掉的那一刻，我一连说了十几个shit。难过却哭不出，像是被谁狠狠打懵了，完全不知该如何反应。,寂寞放入时间，死生藏进四季。你怎么不来玩了？问出的都是寂寞离散；这就算告别吗？道尽的皆是生死喜悲。泡面桶种下了盛与衰，行李箱藏匿着生与死。头发长了蜡笔短了，寂寞随季节更迭；灯泡暗了蜡烛亮了，生命与时光流转。日复一日无所事事，只好承载思念。最好的一次是枝裕和，最残忍的一场成长悼念。,对于成人世界的不信任在电影中几乎无处不在——妈妈，爸爸们，房东以及房东太太，便利店的店长，援助交易时的男人……,初工作时认识一位同事，有次一起出差时他忽然对我说起，他从小是被遗弃的孤儿，曾在垃圾堆捡废品为生，那是个夏天，他说话时常走在我前面，白衬衫上有星点的汗印。昨夜看此片，明在午夜霓虹中奔跑的身影，又让我想起他那件刺眼的白衬衫，一瞬间心酸莫名。这些，都是在世界的某个角落里，真实的人生啊。
借东西的小人阿莉埃蒂,8.8,361194人评价,此生暂借于世上。。这是无言的结局，我能想见阿莉艾蒂最终被同族淳朴少年打动，相守繁衍。那个有温柔眼眸的人，从此相忘天涯，深藏于心。,比波妞好看多了……而且配乐相当好听……,"阿莉埃蒂爬房顶那段的配乐好似模拟人生中世纪啊。。。另外这找人桥段太坑爹了吧！！！！为什么径直就往厨房去了！！！老大哥的指引么亲！！！为什么阿莉埃蒂喊那么大声春姨会听不到！！！翔那么轻声说要吃曲奇都能听到！！从阿莉埃蒂和翔平时对话的音量来看，基准根本是一样的吧！！！
","雖然很吉卜力，但其實和宮崎駿本人的戲劇風格很不同，沒有明顯的起承轉合，主題也不深入，但是很平靜。。。
也許米林宏昌的個人風格還沒有完全顯現出來呢。",还是那个最纯粹的宫崎骏。
神偷奶爸,8.6,666902人评价,比玩具总动员3还要好看，同意的点有用,那群黄黄的不知是什么的玩意儿很有爱的说～本片同时适合所有大叔控观赏：）,90/100。就冲着那个过山车你也得进一次电影院！小猫咪的睡前故事太萌了啊啊啊！！！,这个动画片再次证明了，不怕讲老故事，只需要有颗不老的心。打动人的是里面的小情趣，小可爱，小孤独，坚硬外表下谁都渴望一颗被温暖的心。真的远比toy3得我的心。,它的贱喜剧风格却是很搞笑，阿帕图家的这群配音演员也是个个喜感十足，但本片就差一个成熟的主题。好莱坞如今技术一家亲，硬件方面和别家看起了，幽默感甚至可以赶超别家了，唯独主题上的深度被人家远远甩在了后面，而且上映时间也在人家后面，只能怪环球公司的市场营销部门再次失策了。 ★★★
怪兽电力公司,8.7,431686人评价,那一声KITTY，软了我的眼泪。,不要以外表来判断一个人的心，宝贝，永远都不要。,买了张蓝光碟，再次重看，画质优秀了，似乎离怪物们更近了，原来毛怪10年前的毛发就这么逼真了。再次感叹皮克斯的创意和想象力，最棒的地方也就是这个创意了，皮克斯的动画片过程可能都很相似，唯独创意个个都很独特。★★★★,口碑巨好但我一直都特无感的一部。。。。。。可能是因为我特烦小孩吧。。。看到片子里那个孩子一直闹闹闹，我都快疯了。。。这里面最喜欢的就是布西密配的兰道~~~~~~~大眼怪也萌死了~不过放在2001年确实不错~~~,因为关心才吓人 ~好萌的怪物们 喜欢死了啊
风之谷,8.9,270477人评价,细节：解开那个女孩衣服的时候看到了什么？,年纪越大，越容易对真善美消化不良,终于知道阿凡达的触须是从哪儿借鉴来的了。尼玛这王虫的造型实在太恐怖了，一大堆爬过来简直让人魂飞魄散，密集恐惧症表示不敢看第二遍...,对于虫子恐惧症来说，这就是恐怖片。,大师的第一部作品总是这样惊艳。虽然结尾有点俗而且女主太白莲花，但是最爱宫崎骏片子里勇敢坚强善良的女性形象，让现在的商业大片都感到羞愧。“反派”都是有自己信仰的立体的人，而不是为了坏而坏。真正作恶的还是人类自己。
玩具总动员3,8.8,335471人评价,"闪耀着万丈光芒的又一动画杰作。每一处笑点都能轻易抓到，让我就像是回到了15年前，开心到得意忘形。最后一场戏动人程度堪比UP的""married life""!",最后安迪细数自己的玩具那让我意识到自己也就这样长大了，和我那些玩具。《玩具总动员》自幼在我心中烙下印记：让我觉得玩具都是有感情的小生命，在我们不知道的维度里有喜怒哀乐。而且玩具相对于真正的生命带给我的压力会小一些。玩具不会死，只要不遗弃它们，所以千万不要遗弃他们。7.9和你再看。,它对于我已经不仅仅是一部电影那么简单，而是代表了对于童年时代的记忆与怀念，整个电影院从头到尾笑声不断，但我相信，更多人会被影片的后半段打动，相信看过前两部的人都会很感慨。★★★★☆,最有爱的搞笑+最真挚的感情=完美,还记得你的那些玩伴么？
完美的世界,9.1,162153人评价,我只杀过两个人，一个伤害了我妈妈，一个伤害了你,他看见他，他带走他，就像带走童年的自己。他终于相信这个世界有鬼了，眼前这个开枪打伤他的小鬼就是童年自己的鬼魅。“再见，这是完美之旅。”再见，布奇。,哭了 小孩可爱，大叔也很会煽情，烂漫的骨子里还有一颗梦想的心,史上最泪奔斯德哥尔摩综合征。我这辈子只杀过两个人，一个伤害了我妈妈一个伤害了你。情感创伤带来贴心信任，一对陌生人手拉手踏上没有希望看不到终点的迷途，Butch对Buzz的每一个小动作，摸摸头，拍拍屁股，看一眼心就化了~满满的父爱，已哭瞎。20171111小西天二刷依然哭到抽……,喜欢凯文.科思特勒
血战钢锯岭,8.7,551577人评价,以我有限的观影经验，优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。这个片子基本都做到了。,队伍配置中奶妈的重要性,特别老派的热血直男片，甚至觉得叙事目的性强烈到有些直白。然而，就是好看。前半部分就是压制观众情绪，后面的战争就是帮主角和观者释放，去证明主角。战争场面太硬了，血腥可怕，看到紧张，如炼狱一般。我认同他的那些信仰？胡开尔啊！真正让人激动的，还是见证普通人创造的奇迹，因为这是真的。,真实故事非常值得尊敬，但是这种满屏飞肠子的宗教狂热/主旋律的抗日神片风格实在不能认同。槽点多到数不过来，加菲主角光环大到可以徒手接手榴弹，队友捡回来的圣经可以直接穿越成入党申请书，日军智商战斗力全程不在线，没烧悬崖边的绳索，也不知道往下扔炸药包，啊…还有那迷之展开的感情戏…,3.5 前半小时和爱情戏俗得发指，从入伍开始才走上正轨，上战场就很好看了，虽然时不时出现的槽点还是会让人出戏，但最后成功被煽到。Bromance基友的存在感和感人程度抵十个女主告诉我不是一个人。对加菲的印象也大有改观。
上帝之城,8.9,221277人评价,评论这部电影是可耻的,史上最强剪辑，《低俗小说》遇上它也要甘拜下风！第一次接触巴西电影，就让我着实惊叹了一大下~~,离暴力最近的人，离天堂最近。,"冗长,杂乱",形式与内容并重的经典。巧妙的多线叙事，人物相互穿插、叠层、牵扯。各种枪击事件的发生以俯拍的九宫格式的构图来呈现。在无主之城里，江山易主是为常事。开始的结束——群人拿着枪捉鸡——结束的开始。“我现在不叫阿炮，我是摄影师威尔森·罗利吉。”
傲慢与偏见,8.6,508194人评价,最爱~~~伊丽莎白在大雾中看到渐渐清晰向自己走来的达西先生，我眼睛都湿润了……,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",那个傲慢的人在溢满雾气的晨曦中走来，用最卑微的姿态求你爱他，甚是美好,这一版的每一刻都美得让我心醉。特别是片尾达西从田野的晨雾中向伊丽莎白走来的镜头~,特別喜歡 看很多次了
时空恋旅人,8.7,365764人评价,穿越界第一女朋友:Rachel McAdams; 喜欢这部片子的光感，最爱大雨如注的那场婚礼，你紧张地问我，是不是想要一个阳光明媚的婚礼，不不，一切不需要重来，一生只这一次就好。,理查德·柯蒂斯擅长的轻松有趣加温情。时空旅行仅是噱头，重头还是亲情。当主角发现即便可以时空旅行，仍无法避免那些生活的悲剧。比如亲人的离去，我们始终无能为力，这恐怕是最触动我的地方。最终的主题仍是学会爱，学会生活，并珍惜与亲人的每一天，这话说来容易，实际却相当难。生活中同样应该如此,可能是为了卖片，包装成穿越爱情故事，为此差点错过此片。谢谢贤妻的死拉硬拽。虽然中间说了几句这不合理，但真的很好，上了年纪的人，给我们上了一课，关于时间，关于人生，好像还关于电影，那个黑暗的小屋，何尝不可以是电影院。,你们有没有发现，所有的时空穿越的电影和书到了最后都在告诉我们，要living in the moment...最朴实庸常的时刻也是美好的,"是放在硬盘里很久了的电影。今天无意间看起来，却意外哭得撕心裂肺。比起片中的爱情，更让我触动的是男主与父亲的亲情线，看完电影马上给父母发了我爱你。 btw,仔细想了想，我庆幸自己没有回到过去的能力，否则可能也会不由自主的修正每一段回忆，但其实正是这些遗憾的笨拙的回忆造就了我，让我是我啊"
电锯惊魂,8.7,338531人评价,为嘛医生不用锯子够手机？,最后五分钟让我全身发抖！,硬伤多，黑人警察傻到爆炸,有些疑问。医生为什么不用电锯把手机勾回来。。。而是选择锯腿。。。他老婆一直在打电话，但是为什么后来密室里的电话不再响了？,第二次看，感觉着仍然是一部顶级的血腥电影，结构和叙事都很牛逼，叙事张弛有度。
喜宴,8.9,228392人评价,看來 高爸爸也是gay  跟張管家有一腿  但是爲了這個家嘛  延續香火 就只好結婚生娃咯,看到房间号1069我的玻璃心碎了一地...,李安总是善于在西方的文化背景下表现中国文化的细枝末节。被放大致喜剧形式所表现的那场中国婚宴，反讽了中国文化中对于性的压抑…而中国最传统的家庭、家族理念，也在这一场假结婚的风波中进一步深化。隐忍的情感，家庭中的冲突，最终在爱与理解中得到化解。接受了一切向前走，这终是一场喜宴。,少年时看过后存在硬盘里，想着哪天出柜时放给母亲看。后来母亲走了，我没能给她一场喜宴，也没能给她看过这部电影。这一生再也没有机会了。今晚我囫囵吞枣地又看了一遍，然后删除，从此没有福分将它留在硬盘里。,故事讲圆了，金素梅的台词功太生硬，想打掉孩子的那两段台词写得不好。
教父3,8.9,231258人评价,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,"""All the power on faith can't change destiny.""
任何信念的力量，都无法改变命运。
人们觉得第三部不好的原因只是我们不愿接受故事的真实结局。",教父们的遗恨。江山易主、风水轮流转的苦痛。怒火蒙蔽理智。麦克：“文森，你将走向不归路。”暗藏杀机的歌剧音乐会。宗教的介入是一种心灵的救赎，一种精神的寄托。玛莉的死去  阶梯上的红地毯浸满了鲜血。悲剧就是把最好的东西毁坏给你看。,安迪·加西亚真像年轻版本的阿尔•帕西诺！这一部像是回归到原点，与前两部惊人相似的聚会场面，年轻一代的邂逅与相爱，下一代对家族生意的抵触，重返西西里的感慨；最感动的还是教父失去爱女的痛苦吼叫、无法得到的谅解、垂暮之年的眼泪、临终前的回忆。,牛逼人物的特质是枪都开不死。帕西诺。
谍影重重3,8.8,294621人评价,谍影重重三部曲，一部比一部好看，有“倒食甘蔗，渐入佳境”之感。难得。,没啥感觉的公认好片,一夫当关万夫莫开。虽然有点神化，但伯恩真是这一行的大师啊~,第三部，男主角终于不再杀人，因为他成佛了。自从他遇见了CIA的女观音菩萨后，就走上了成为斗战胜佛的道路。,浓缩版的《24》，回归版的Jack Paul。细节非常到位，情节紧凑到没时间上洗手间。滑铁卢车站那一段经典。
岁月神偷,8.7,438516人评价,突然觉得吴君如如此美丽.,當你發現時間是賊了，他早已偷光你的選擇,每个人都有一场被岁月偷走的记忆。眼泪流了那么多，但丝毫不觉得煸情。节奏虽慢，但不琐碎。很喜欢李治廷的表演。这一场感动，来得无比自然、真实而朴素。难一步，佳一步。一步难，一步佳。有这样的爸妈，我们难道没有理由看得见天空中同时出现的两条彩虹吗。另，海报上明明不可以少了李冶廷的份嘛。,哥哥倒下到弟弟接力的精英回首，父亲的道别和母亲的无奈，隔一层玻璃观看的热带鱼和上世纪60年代的深水埗,并未洗净铅华，却用最自然的从容令人动容
英雄本色,8.7,333102人评价,“杰仔，你冇错到，我地大家行嘅路唔同，你行嘅路系啱架，以前我行错咗，宜家行翻啱，都唔算太迟。”这句真感动。如果把兄弟情都看成基情，这真的挺可悲的。,香港黑帮电影的代表作！小马哥，那是一个神的样子~~,“做人有原则，就什么都不怕。” 真的不敢说这是我第一次看《英雄本色》，并不需要多么复杂的炫技，好电影从来都很简单纯粹。怀念最好的港片年代。“他有勇气去改过，你有没有没勇气去接受？” 上海电影节4k修复版。,三个男人的戏，打得太精彩太经典了！,故事情节即使在当年也没什么了不起的。但是狄龙周润发张国荣正好分别代表了儒雅内敛、升级打怪和单纯明朗三种状态，再加上导演功力惊人，所以呈现出行云流水动人心魄的效果。
七武士,9.2,126755人评价,我只能用”高山仰止”四字来形容我对黑泽天皇这部旷世杰作的仰慕之情；纷繁庞杂却又条理清晰的史诗，严苛而精准的镜头和构图，七个武士和若干农民的性格都被描绘得入木三分， “休憩”后的大决战无比恢弘，叹为观止。,真正的经典，总是让人无语。,保卫家园的片子，也能拍出如此深刻的人性。,农民寻贤求武士；武士精心部署之；部署完备等山贼；双方对战各损失；是赢是败难界定；农民欣喜武士伤。长叹息以掩涕兮，哀民生之多艰，以哀其农民之拙劣的本性——懦弱、猜疑、自私、松散、缺乏主见、固守成规；然而，哀而不怪，历史索然，形势所趋，只能寄望于未来，农民阶层可以雄起！,谁都没赢，即使是村民。
被解救的姜戈,8.7,417138人评价,零，有一种类型片，叫昆丁；一，昆丁只拍这种片，但只有昆丁拍这种片；二，此片没那么完美，但已比无耻混蛋用心很多；三，昆丁可能永远再达不到低俗小说的高度，但本作足以革新西部片；四，南方口音蛋疼，有些笑点没听懂，以后我得看中文字幕版；五，原谅我用那么多分号，cuz Ima goddamn programmer.,故事核心其实老土得很，就是男的历尽千辛万苦去救他心爱的人。但是故事人物设定实在太棒，花165分钟在这部电影上是绝对不会后悔。,4.5。1.痞子昆就是这样，见你犯困了，他就来场重口味强心剂，于是，你又屁颠颠精神百倍。2.头套突袭那场笑喷了，炸平糖果庄园后的示爱也超浪漫。3.遗憾，姜戈痞气不足，沉默期与着魔期的跨度可以更夸张些。4.配乐及部分诗意输出不如[无耻混蛋]讲究，但台词更见功力了。5.同以解放黑奴，与[林肯]暗合。,或许不是年度最佳电影，但极可能是最令影迷们过瘾的电影。不再在结构上费心编排的昆汀这次采用了更为传统的单线程叙事，他向通心粉西部片、香港武侠片甚至自己的《无耻混蛋》致敬。混搭音乐、暴力、语言（特别是外语）再一次成为手下重要的道具。塞缪尔·L·杰克逊奉献了他《低俗小说》以来的最佳表演,热血沸腾！三年的等待值了！那个低俗、性感的无耻混蛋又来了！
功夫,8.5,613695人评价,十分纳闷这部电影不上9分,周星驰形式上的巅峰，但是意境已走下神坛,华丽的夸张，情节倒是紧凑，毫不拖沓,电影院里他说，你笑得好开心。,豆瓣连8分都没上 明明很棒 心中可以8分以上 感觉被低估了
疯狂原始人,8.7,591987人评价,《超人总动员》一家人的团结与各显神通、《冰河世纪》的原野放逐与聒噪搞笑、《勇敢传说》的脉脉亲情、《阿凡达》的奇观异景、《驯龙高手》的各色萌兽……前后呼应、没有一个多余的情节，过山车式爽快节奏，一路笑着哭。2014第86届奥斯卡最佳动画长片预定提名,梦工厂的动画片做成这样真没什么可哔哔的了。5星走人。,同样是「冲破阵规」的主题，这个比brave无论在选题还是故事上都有趣多了。远古生态环境的设定也很有趣。croods一家的戏份摆得很好，都个性鲜明又不会抢了主角的光彩。清新热闹流畅加一点小狗血。当皮克斯变成迪尼斯的时候，梦工厂变成了皮克斯。果然是「爱你就会变成你」，相杀相爱神马的。,"全程萌翻  小树懒 ""Da da daaaaaaaaa"" 激萌！",全程都在大笑无尿点，已经预定下届奥斯卡最佳动画一个提名了
哪吒闹海,9.1,162348人评价,哪吒要是搁现在，就是一少儿精神病患者：躁郁症、暴力狂、自杀倾向、逆反心理……辅导人员要密切关注他看什么书，听什么音乐，玩什么电脑游戏，业余时间从事什么活动，必须定期参加心理辅导，服用抗躁郁症药……比美国哥伦比亚中学枪击案主谋更犀利的家伙,蒋勋在孤独六讲里写哪吒，他说，我记得年少时，读到哪吒把肉身还给父母，变成幽魂，最后找了与父母不相干的东西作为肉体的寄托，隐约感觉到那是当时的我最想做的背叛，我不希望有血缘，血缘是我巨大的负担和束缚。父母是我们最大的原罪，是一辈子还不了的亏欠，就是欠他骨肉，欠他血脉，所以当小说描述到哪吒削骨还父，割肉还母时，会给读者带来那么大的震撼。可是，这个角色在过去饱受争议，大家不敢讨论他，因为在百善孝为先的前...,"哪吒刚刚降生，李靖就想一剑劈了他；
龙王恶人先告状，李靖却丝毫不听哪吒的解释；
哪吒制服了龙王，李靖又叫人把他绑起来；
面对四海龙王的报复，他甚至想杀死哪吒……
是怎样的父亲，才会对自己的亲生骨肉心存偏见？
是怎样的父亲，才会胳膊往外拐，站在别人那边？
是怎样的父亲，才会是非颠倒，不分青红皂白？
并非所有的孩子都是熊孩子，反而是很多父母不配做父母。
在这个“百善孝为先”的国度，《哪吒闹海》没有跟风...",小时候老分不清哪吒到底是男是女……以前动画片的角色造型，中性风总是很潮嘛。,电影真的是时代的产物，小时候看这版的哪吒，不觉得故事有问题，现在再看，才发现这是一个政治味道浓重的故事，传达的价值观念赤裸裸。对比饺子导演对【哪吒之魔童降世】的处理，我命由我不由天的主题又很符合我们当下的主流价值观，哪吒变成了另外一个故事，可能会成为现在这代小朋友的童年回忆，和我们这一代看的哪吒是完全不一样的，可能这就是讲故事的魅力吧。
天书奇谭,9.2,129469人评价,"“你是蛋生的，所以叫蛋生~”

蛋生的师傅好帅啊~~~~~~~~",年轻狐狸精还真美。袁公乃中国的普罗米修斯呵。,这里出现了历史上最猥琐的玉帝形象……,动画好多，经典的却很少，是吧蛋生。。。。,"浅绛山水斧劈皴，
游丝描绘众生相，
最爱狐狸老太婆，
最爱独腿小书生，
一蹦一跳去吃鸡，
蹦入清明上河图，
蹦入东京梦华录~"
心迷宫,8.7,329053人评价,平顶山版科恩兄弟，作为处女作，看到了新一代年轻人的追求,诺兰结构科恩风格本土叙事，五星鼓励,看完之后明白一个人生哲理：贱人自有天来收......,看了忻钰坤处女作《殡棺》，惊喜！从容缜密，会讲故事。看片名，容易误以为是闷蛋文艺片，其实是无巧不成书的三段式“乡村怪尸案”。成本太低，演员略逊，但也带来了陌生的乐趣。和拍《光棍儿》《美姐》的郝杰一样，忻钰坤，绝对有实力执导更大制作的类型片。这种会讲爱讲故事的年轻导演，是稀缺资源。,4.5。1.终于得见[殡棺]，乡村怪尸即视感，叙事结构值五星哈。2.所有秘密都不说出，每个时间节点都恰到好处，昔日看蒙吉[西方]也有类似感受。3.村长苦逼处境被一层层剥开，是全片最华彩部分。4.父子俩隔着棺材沉默站立，那一刻情绪超赞。5.对于风格尚欠、硬件粗陋的新导演来说，整体上可挑剔的不多。
真爱至上,8.6,500488人评价,1、每当我对世局倍感忧虑时，就会想到希思罗机场的入境闸口。人们认为世界充满仇恨与贪婪，但我却不同意。在我看来爱无处不在，虽然未必来的轰轰烈烈，但是爱永远存在。父子，母女，夫妻，男朋友，女朋友，老朋友，当飞机撞上世贸大厦时，临终打出的电话，谈的不是报复，而都是爱。如果你肯留意，你会发现爱其实无处不在。love actually is all around.,生活真美好，在电影里。,寂寞的圣诞夜一个人看这种电影，看完觉得更寂寞了！,"我不明白,如果导演早就决定给个皆大欢喜的结局,为什么又不给得彻底点呢?",像我这样一个对外国电影了解不多的观众，看的时候一直处于“我靠这个人好眼熟，这个人不是那个谁吗，这个人是大牌吧，这个人我知道名字！……”的状态中。
萤火虫之墓,8.7,307065人评价,又精致又催人泪下。可是二战时期的日本一点也不值得让人那么同情,我发誓我再不敢看第二遍,“我们做错了什么？”这话应该由日本人说么，即使是平民？妹妹的神态、动作、配音都绝了。,虽然事先知道这是个煽情的片子，知道它注定是个悲剧，还是哭了。告诉你这是个悲伤电影，在你准备好的情况下，还能达到效果，的确是个好片子,日本人博取同情的功利 是中国的N倍。
