电影名,评分,短评数量,评论1,评论2,评论3,评论4,评论5,排名
肖申克的救赎,9.7,1897620,当年的奥斯卡颁奖礼上，被如日中天的《阿甘正传》掩盖了它的光彩，而随着时间的推移，这部电影在越来越多的人们心中的地位已超越了《阿甘》。每当现实令我疲惫得产生无力感，翻出这张碟，就重获力量。毫无疑问，本片位列男人必看的电影前三名！回顾那一段经典台词：“有的人的羽翼是如此光辉，即使世界上最黑暗的牢狱，也无法长久地将他围困！”,不需要女主角的好电影,恐惧让你沦为囚犯，希望让你重获自由。——《肖申克的救赎》,“这是一部男人必看的电影。”人人都这么说。但单纯从性别区分，就会让这电影变狭隘。《肖申克的救赎》突破了男人电影的局限，通篇几乎充满令人难以置信的温馨基调，而电影里最伟大的主题是“希望”。当我们无奈地遇到了如同肖申克一般囚禁了心灵自由的那种囹圄，我们是无奈的老布鲁克，灰心的瑞德，还是智慧的安迪？运用智慧，信任希望，并且勇敢面对恐惧心理，去打败它？经典的电影之所以经典，因为他们都在做同一件事——让你从不同的角度来欣赏希望的美好。,策划了19年的私奔……
教父2,9.2,347316,两代人的对比，AlPacino和RobertDuvall都太帅了，不同的是，父亲拥有家庭与荣华，而AlPacino几乎失去了所有亲人。,74/47th第一部是关于神化的智慧。第二部是男人的光辉与悲哀，以及意大利的传统家族观念在美国的狗屁价值观前节节败退,【720P】这部电影告诉我们，为什么“富不过三代”——因为富二代们的生活总是很混乱。,阿尔·帕西诺不能再帅，是年轻时的代表作。,虽然有点儿长，但你会知道为什么三个小时你都坐在这里～（不明白自己2009年5月27日怎么留下了这样的短评，而且还被打了104个有用，毛用啊，对于回忆当时看完这片儿的感受一点用木有。2015.8.8重看，不如1爽，相比之下节奏氛围人物塑造都差了些，自然还有其精致所在但已经没了那种生猛，太可惜了）
阳光灿烂的日子,8.8,430633,再也没有这样的时候了。被禁锢的青春里面溶着化不开的酸涩。年轻的时候爱一个姑娘，就可以奋不顾身的把所有逞能的事情都做完。长大了以后就不会了。不是不爱姑娘了，而是理智的弦告诫你自己再这样做是多么蠢的一件事情。,“我的故事总是发生在夏天。炎热的气候使人们裸露得更多，也更能掩饰心中的欲望。那时侯，好像永远是夏天，太阳总是有空出来伴随着我，阳光充足，太亮，使得眼前一阵阵发黑”——电影《阳光灿烂的日子》开场对白,为什么你们都那么牛B地看到了时代的悲剧，我却傻B的没看出什么来？,别人说这部片子很绝望，我看到的只是与我无关的，男生的青春期,大陆电影的巅峰之作。
致命魔术,8.9,574281,孪生蝙蝠侠大战克隆金刚狼,一个与同胞兄弟轮流上台享受欢呼与掌声，一个自我牺牲自我毁灭让复制品延续艺术生命。人性泯灭在狂热之中。,本片最大的看点其实是用Angier和Borden的幻术竞争来影射历史上Edison和Tesla的直流电与交流电之争。《记忆碎片》、《致命魔术》和《盗梦空间》基本上一个套路嘛。如果Nolan拍片子总是用这种捣蒜的方式讲故事的话，看多了真觉得没啥意思了。,他选择了和他妻子一样的死法。100次。,诺兰是一个伟大的魔术师，谜底都在变小鸟那个魔术里了。。
蝙蝠侠：黑暗骑士,9.2,691413,诺兰接手后蝙蝠侠和其它漫画英雄片完全不是一个等级了,赞誉众口一致夸上了天，百闻不如一见，这种连环画超级英雄故事居然能扯到第六集真是要把编剧逼跳楼了，最后呈现的暗夜骑士全然超越了原著，悲怆到迷人的境界，着实是个奇迹。剧本确实很卓越，导演确实很出色，还有演技真是不得不叹服一下太tmd震撼,蝙蝠侠、双面人和小丑这三个形象把人在善恶两面的矛盾及选择映射得淋漓尽致，于是成就了史上最佳漫画和英雄电影。时光网：“诺兰让关于艺术片和商业片的讨论变得毫无价值。《黑暗骑士》不但拍出了古典悲剧的感觉，还探讨了恐怖主义、越界权力等美国当代的热点话题。最关键的是，电影好看得无懈可击。”,"伟大之作,与其在文艺片里奋战,不如像这样提升商业片的水准!",诺兰的叙事能力不但在于结构上。。他总有一个与众不同的主题
霸王别姬,9.6,1394212,陈凯歌可以靠它吃两辈子饭了，现在看来江郎才尽也情有可原,说好了一辈子，少一年、一天、一个时辰，都不是一辈子。,他竟当面一语点破：虞姬是真虞姬，霸王是假霸王。,就凭这个，我愿意原谅陈凯歌一切的烂片你只要伟大过一次就可以了就凭这个哥哥你是我心中永远不朽的传奇你是全世界最大的角儿,这真的不是电影，而是人生。如此真实深刻地反映了从抗战前夕至文革的那段历史时期下命运凄惨的人们，渗透在每一个细节，包括那个不能忍受戏班虐打的孩子，而文革中六亲不认，人格扭曲更是展现到了极致。当然最赞的是哥哥的表演，如此悲哀可怜的蝶衣让人心痛，不疯魔不成活，人戏不分，现实的他也是如此
狮子王,9.0,532140,败在“刀疤”没有反派魅力！,“太阳所能照到的地方，都是我们的国土”随时随地、再看百遍、都会感动如初的经典。,从此得知，原来动画片还可以是这样的……,hakunamatata,现在看剧情真的好简单啊，不过拟人感实在太完美了。还有那个“哈库那莫塔塔”，好多年没听到了...CanYouFeelMyLoveTonight？
重庆森林,8.7,540288,当时没有看得太懂的一个片子,一个人哭了，你给纸巾他就行；但如果一间屋哭了，你就要做很多事情。,"那时她还被叫做王靖雯,小鹿様闪烁的眼神,细痩无邪的身体,疯狂的暗恋也不过是纯真执着的本能",失恋无聊的警察金城武爱上了戴金色假发的女杀手林青霞；在速食店打工的王靖雯暗恋着每晚来买宵夜的警察梁朝伟。落在王家卫的魔手却拍成了深具映象魅力的新感觉派电影，堪称迄今为止最能掌握新新人类触觉的华语片。,看旧电影最无法跨越的逻辑障碍：金城武怎么可能会被甩！梁朝伟怎么可能会被甩！这不是渎神吗！
七宗罪,8.8,671348,里面的布拉德皮特帅的掉渣……,决定永远不暴食,故事看多后的后遗症就是一般最后半小时就知道结局了。。。,阴沉而绝望。基督教用撒旦的七个恶魔形象来代表七种罪恶：傲慢，嫉妒，暴怒，懒惰，贪婪，暴食，以及淫欲。一个变态的宗教杀手，平时连一只鸡也不杀，但他找到了依据来实施对人的毛骨悚然的谋杀。有什么能比一个人做魔鬼的行径更为恐怖的吗？台词：“这是个美好的世界，值得我们为之奋斗。我同意后半句,多年以后再看，还是功力和锐气并重的作品
控方证人,9.6,258545,男人贪心，女人贪爱,当结尾旁白说“影院友情提示，为了保证您没有看过这部电影的朋友，有机会获得更大观影乐趣，请您不要像任何人透露这部电影的结局”时，真爽，这个电影真是骗足了同情心，飚足了演技，压足了节奏，然后唰唰大释放。一场英国男人和德国女人之间爱情与欺骗的故事，现在才看，对不起比利·怀尔德老人家。,好片遇上好字幕~爽,查尔斯劳顿简直是戏精！比利怀德的电影和阿加莎克里斯蒂的小说都是在结尾峰回路转，此片简直是两位大师珠联璧合的杰作！,五星级结局，难以置信这是1958年的黑白电影！
阿甘正传,9.5,1444250,羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,太甜美的美國夢,"电影开篇,就告诉了人生的真实意义，就是羽毛,你无法决定和选择将要遇到什么,只能随风摇曳,在空中尽情的舒展美好!",每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍
指环王2：双塔奇兵,9.1,464142,其实这个故事挺弱智的。,LOTR都有意或无意地削弱魔法的存在。因为LOTR所要传达的是：即使是平凡人也能改变事情的发展趋势，即使是最微不足道的角色也能改变许多人的命运，而魔法对事物进程的影响，却在演员们本色的表演中渐渐被淡化，这也是为什么在三部曲中魔法仅仅以渲染人物心理变化作为某种基调存在，而非针对某样事物的实体了。FOTR的行云如水可称为“公路电影”，而TTT与其说是魔幻篇章还不如说是战争史诗。,比第一部有意思，树人开闸放水冲毁艾辛格的时候，其中一个着火的树人赶紧把头伸进水里笑死我了，好萌啊。假如一开始魔戒就被丢到末日火焰哪来这么多战争和死亡，和异形一样，都是人类的贪欲，自作孽。,你能想象吗，彼得·杰克逊总共只花了2.8亿美元，就把《指环王》三部曲拍出来了，最后全球票房29亿美元，三部曲通通获得奥斯卡最佳视觉效果，还有一部拿了奥斯卡最佳影片。,莱格拉斯无敌帅~
第六感,8.9,370350,看到最后眼泪哗哗。。的惊悚片。。。,小孩和妈咪的那一段结局真感人,虽然第一次看《第六感》已是四年前的事，但现在仍然记忆犹新。看之前就知道这是一部惊悚片，看的过程也的确被个别镜头“惊悚”了几下，但没想到的是，真正令人恐惧，心有余悸的却是影片的最后一分钟。当之前两个小时“惊悚”情节的铺垫成熟时，最后一分钟的真相大白更像是一种宣泄，一种试图冲破所有观看者心里防线的宣泄，而我的确被深深地震撼到了，那是一种发自心灵深处的震颤，一种深刻的心理体验。,还好我没知道结局就看了。,操，看之前让人给剧透了
低俗小说,8.8,571389,非线性的叙事电影的代表作。结构巧妙而富有深意，精彩的对白。片中每个人的身上都有着美好的品质，却都无可救药的走向了黑暗与迷茫。各个段落不分首尾，互补结构，开头和结尾相连，暗示现实中类似影片中的情节总在发生，永不停歇。台词：为什么我们一定要不停地说废话来维持气氛？只有当你找到一个真正特别的人时，才能闭嘴享受片刻的沉默。,事实证明，编剧恒大于结构。玩弄技术者必将悲惨淹没于日新月异中，新潮变做作，做作变老土。演员都是熟人，OST很好听。Travolta有点PITT的味道，昆汀大叔妒嫉他，竟把他写死了。讨厌拳击手，暴菊黑屋子太搞了。。MariadeMedeiros甜美性感小魔女——不是LES太可惜！,據說導演把膠片剪成撲克牌，洗了牌重新組接，影片就變成了我們看到的樣子。學會了fucking的37種語調。,太正点了，那妞。。。,我爱特拉沃塔的舞。
活着,9.2,533188,个人认为是张义谋最好的电影。,能活在现在这个时代其实还是很庆幸的了，虽然天朝依旧威武。,活着就是受罪活着就是劳累活着就是互相折磨活着就是不对活着就是受罪活着就是劳累活着还得互相安慰活着就会憔悴活着就是受罪活着就是劳累活着就得拼命挣扎活着就得干脆——尹吾你笑着流出了泪,年代记实录，看了让人不舒服，特别是里面的台词，虽然他们在拼尽全力的活着，可是却又显得如此可笑和悲凉。“小鸡长大了就变成了鹅，鹅长大了就变成了羊，羊长大了就变成了牛，牛长大了就是共产主义了。”,一个时代有一个时代的悲哀和可笑，你能在别人心酸的故事中读出些许温情，也能从自己的平凡中领会些许荡气回肠。电影少了原著的惨烈，但那种好死不如赖活着的悲凉还是存在的。
请以你的名字呼唤我,8.9,407281,"刚刚在苏黎世电影节看的，导演一直坐在第一排。结尾的提问环节，他回答关于电影名的意义，他说：Ithinkinlove,whenyoucalltheotherbyyourname,thatmeanscompletesurrender.",elio坐在火炉前，一会儿落泪，一会儿抿着泪水笑了，一会儿眼睛里又恢复了冷漠，仿佛在短短几分钟内，他把那个夏天又度过了一次，且此生还要度过很多次。,后劲太大，沉醉在电影的情感和视听氛围中无法自拔。雕像下的长镜头，午夜约会时的触碰，深夜教堂外和陌生人的尬舞。最终所有乌托邦似的美好都凝固在了80年代初那个夏天的意大利小镇，就像父亲说的那些炽热纯粹又隐秘的欲望和情感，以及用尽全力去探索、去爱、去失去、去心碎的那个自己，再也没有了。,当年读小说的时候，就被最后老爹那段话感动，是那段话的态度，让整个故事变得不一样了。一个意大利少年和一个美国青年渡过了生命中的六周，他们之间不仅仅是同志感情，最后成了一种超越爱情和友谊的美好东西，告诉你要学会去感受生命中的一切，在年轻的时候拥抱所有感觉和情绪，就像一种修行和成长。,细腻、唯美、慵懒，带着浮生若梦的气息。我们大多数要等到青年时才能将蒙昧的性觉醒付诸实践，而CMBYN呈现了同志电影绝无仅有的“少年时代”。这个叫TimothéeChalamet的男孩是世间最美的珍宝，他的一颦一笑、从脚趾到发梢都让人疯狂。请以你的名字呼唤我，因为在这一刻You'reMINE
这个杀手不太冷,9.4,1639947,我开始想要过得快乐，睡在床上，有牵挂,萝莉有颗御姐心，正太有个大叔身——邪恶又天真、残酷又温柔，多完美~,一半的魅力来自反派：GaryOldman.,里昂只有一颗盆栽，不善言辞，爱喝牛奶。他不像，却真正是一个杀手。玛蒂达的到来，是包袱，也给里昂带来了生机。不过这种设定，注定是悲剧收场。里昂死后，玛蒂达将他盆栽的种子落地生根，里昂终于不再每日拿着手枪在椅子上不安地入睡，他落地了。娜塔莉波特曼太灵了，玛蒂达是如此特别。,我没啥感觉的公认好片。
我不是药神,9.0,1407287,“你敢保证你一辈子不得病？”纯粹、直接、有力！常常感叹：电影只能是电影。但每看到这样的佳作，又感慨：电影不只是电影！由衷的希望这部电影大卖！成为话题！成为榜样！成为国产电影最该有的可能。,王传君所有不被外人理解的坚持，都在这一刻得到了完美释放。他不是关谷神奇，他是王传君。你看，即使依旧烂片如云，只要还有哪怕极少的人坚持，中国影视也终于还是从中生出了茁壮的根。我不是药神，治不好这世界。但能改变一点，总归是会好的。,这不是“中国版《达拉斯买家俱乐部》”，这是中国的真实事件改编的中国电影，是属于我们自己的电影，不知道就去百度一下“陆勇”。,小时候路过一家药店，门口的对联写着“只愿世间无疾病，何愁架上药染尘”,文牧野眼睛太毒了，观众的笑点、泪点、痛点被他牢牢抓住，徐峥现在不拼演技开始掏心炸肺放脱自我了，药物在中国绝对是个“不可说”，但这个电影说了它能说的，也不显山不漏水的说了它所不能说的，讲的是现实，但看过电影之后才会明白其实是超现实，2018最佳!
沉默的羔羊,8.8,568055,周黑鸭的毛豆不如绝味的好吃。。。,如果汉尼拜尔教授不整天嘴上念叨着吃人，和他共进晚餐一定是世界上最迷人的事情。★★★★★,所谓经典就是无论什么时候翻出来，都能让人回味许久，值得反复琢磨研究。其实小说本身并没有多么出彩，但安东尼·霍普金斯却超一流的演技诠释到了近乎完美的境界。★★★★☆,正是因为米国没有卤煮火烧和烩羊杂，就连爆肚、溜肥肠，酱爆肝尖，火爆腰花什么的都没有，所以作为美食家的汉尼拔很尴尬，常常为了一份食材而绞尽脑汁，大费周章，其实。北京欢迎你，大可满足你顿顿吃卤煮的愿望。,棒就一字，看完后记住那句话“勇敢的克拉丽斯，如果有一天你的羔羊停止了尖叫，你会来告诉我吗？”
乱世佳人,9.3,458181,请上帝保佑那个真正爱你的人吧，你把他的心都揉碎了。,"一定要看啊,我喜欢斯加丽那种几乎有点蛮横的可爱感觉.甚至可以为了达到目的不责手段,要么爱她,要么讨厌她.她在贫瘠的大地上拿着一根萝卜说(这个,好象很搞笑)""我对上帝发誓,我再也不要挨饿!""我爱上她了!",也许每个女孩子心中都有一个艾希礼，只有经过时光才发现真爱原来是班瑞德。,Tomorrowisanotherday.又一句该死的经典台词。,整整4、5个小时啊，看到我中途昏死了过去。郝思嘉最后的那句“tomorrowisanotherday”鼓励了多少脑残志坚的女性呀！（包括我在内）
小森林 夏秋篇,9.0,274394,那些静得只能听见呼吸的日子里，你明白孤独即生活。,看着看着，突然觉得好难过....,劳作令人无暇烦恼，片中的人物时而离凡世很远，时而又触手可及。我们有舌尖上的中国，通篇累述奉献、感恩，手艺传承和文化气节，却没人教导我们劳作本身的意义。一屋一田一人食，已是最令人羡慕的事。,把日本乡间简素的一餐一饭，拍得很有质感、美感、生活感。在天朝这个审美粗糙的国度，日式情调显得如此有“逼格”。但时人追捧日式美学所谓的“禅意”，恰恰最无禅意可言。刻意追求的形式感，努力再努力去趋向于“美”和“精致”的态度，其实都离禅很远。禅是一箪食、一瓢饮里全都是平常心，无谓美丑。,桥本哥演出了吃货的本心，一边捧着小鸭子说好可爱下一秒就开始平心静气的磨刀嘴角含笑的杀鸭肢解，大写的帅。
大闹天宫,9.3,247972,看着此片，仿佛回到了穿开裆裤的年龄。那时候还小，以为这是神话，还因为知道了这片是在讽刺封建主义而沾沾自喜，直到现在，我才发现，原来这故事不是神话，而是警示预言，它预示着21世纪的中国跟当初没什么本质的区别。整整110分钟都陶醉在中国的国粹——京剧里！！！,这个猴子是我们国产动画片的骄傲，到了今天依然得指望着它说事儿～,经典,向中国早期的动画制作人员致敬！,50年过去了，中国动画不进反退，还有比这更可悲的事么。技术上止步不前，创意上才思枯竭。一群羊和两只狼的故事都被反复翻炒出N部，悲矣；当年号称十年巨制制出一部宝莲灯，贻笑大方矣。现在小孩的物质条件比我们好了n倍，但是我仍然觉得当年的我们是幸福的，因为有这么多优秀的动画片陪伴成长。
美丽人生,9.5,917353,人生，就是喜剧，就是一场1000分的游戏。千万别哭，不然那个迈着正步去赴死的犹太人会笑话你的。,在真实的历史面前，不可能有这样的轻松与浪漫！,我以为如此智慧的一个人，在那几声枪响过后，必定是会走出来，继续对他的公主说早安的...,如果谎言可以这样美丽，我也情愿生活在谎言之中,喜剧的开始，悲剧的结束，满满的亲情，无限的父爱
被嫌弃的松子的一生,8.9,510896,到底好看在哪，这样的人生不都是她咎由自取么。,她不明白人生失败的根源就是全身心地投入舍弃自尊来博得并不值得拥有的所谓爱,是嘲讽吧——你以为人生要完了的时候它还在继续，你以为人生可以重新开始的时候，人生已完。,用喜剧的手法来拍一部悲剧你会发现最后笑得前仰后合而眼里却挂满了泪水,松子的生命力真顽强，每次说着“我觉得人生完了”，但是又都站了起来，当然，那时候她多么年轻，还有时间，还有爱。可惜正常的人生还是可望不可及，无非想被爱和爱人，但是不止寡情会辜负人，浓情同样也会。她总是在忍受，即便挨打，也还是要坚持在一起，留着希望，也许这也是一种方式的被重视吧，聊胜于无。是呀，为了被重视，她不断的去讨好别人，用鬼脸、用身体、用爱，但是那雪地上的一击，任谁都会被打垮吧，所以她不再反抗了，对人生逆来顺受，没有人可以相信，善良终于被挥霍完毕了。
末代皇帝,9.2,467723,溥仪登基之初的十六抬大辇，和片末游行时红卫兵扛在肩上的毛泽东像，讽刺意味浓重。感觉导演还想告诉我更多的东西。但我更多是对这位末代皇帝的同情，还有艳慕。。。好喜欢大被同床的双飞镜头。,不偏袒的好片儿！一个进自己原来的宫殿还要买票的皇帝。,有史以来一部最地道最出色的中国电影，居然，MadeByItalian～,所有的离开你都赶不上，所有的门你都打不开。所有的人都是撒谎者。,"尽管看一群中国人在屏幕上讲英语很是奇怪，但不能否认这是部出色的电影：它与国家无关，与王朝无关，这只是一个渴望自由却不得的人的编年史；""门""的意象被反复提及，寓意溥仪被禁闭的一生；贝托鲁奇娴熟的运镜，要人命的广角自然光，美妙的配乐。"
哈利·波特与死亡圣器(下),8.8,492183,电影的质量不重要了。每一个打五星的人，都是在谢幕前向自己过去的十年致敬。十年，足够让它长成你的血肉呼吸。Likeneverbefore.Likeneveragain.,一整场电影下来大家都很安静，几乎没有人说话，都掉进了长达十年的回忆之中，百感交集，直到结束，但是所有人都知道，它将永远不会结束，也许每个人心中都在期待着某一天自己的会收到霍格沃茨的offer然后拿着行李冲向九又四分之三站台。对于我这种脑残粉来说，给一百颗星都不够。,我们的童年结束了，希望下一代人的童年里还会有魔法师，还会有霍格沃茨。,经历了Pt.1的铺垫全片只有高潮.零点首映结束后全场鼓掌很久.于是余生就再也不会有新的HarryPotter电影了.,这绝对是DavidYates这闷老头的巅峰之作了，虽然大部分场景3D效果非常不明显，但是仍有最后boss灰飞烟灭之类的场景充分体现了3D的美感。剧情安排相当紧凑，终于可以不必在太闷的过场掐自己大腿。结局的列车发车时的轰鸣声让我仿佛又回到了第一部，当时的我和小哈利一样依然很年轻。
两杆大烟枪,9.1,413744,没有人尝试那个卖假JB的想法么！,嘛叫编剧功夫？界就叫编剧的功夫！,中国多少年轻导演在学这风格,周杰伦捧红了萧邦，疯狂的石头捧红了两杆大烟枪，夜宴捧红了哈姆雷特，集结号捧红了太极旗飘飘？,谁说这片子比猜火车好的?
蝴蝶效应,8.8,631096,我们每个人，都会幻想能够改变过去使目前的状态更好些，或者希望过另一种生活成为另一个人，这部电影反映的就是这种想法以及假如我们真这样做的结果。埃文不停的改变过去的选择，希望能够找到一个完美的未来。可事与愿违，往往导致更加悲剧化的结尾。人类对自己的认识一度忘乎所以，以为自己就是上帝，而最终仍将认识到自然的种种限制，但正是这种限制，体现了生命的意义、抉择和努力的意义。当我们回首往事，自然会对以往的错误感到懊悔，然而也正是这些错误、这些道路，成就了我们的个性；正是这些痛苦使我们感受到生命中的刻骨铭心。,或许，我也应该用脐带勒死自己,每一次的选择已经是最好的选择了。改变未必是优化。,★★★★(2004-12-17)其实比起电影本身，还是更喜欢那段影评：“量子力学的平行多宇宙解释说，在交叉小径的花园里，总会有一条道路，让人们在生命中的每一个节点都得到幸福，在那条完全幸福的道路上，有且仅有一个你在行走。这是多么令人宽慰啊，在每一次铭心刻骨的选择里，总有一个你选对了路，在茫茫的恒河沙数的宇宙里，总有一个你，终生幸福。”,"尽管有破绽,但是构思的巧妙和创新足以弥补,不能用科学的角度来分析艺术"
泰坦尼克号,9.4,1388669,那对对死无所畏惧的老夫妇，那个不为外界干扰的乐队，那个为生而做一次假父亲的男人，那个为爱人吹响口哨的女人。都是为了一种心灵上的执着。,“我甚至连一张他的画像都没有，但他永远活在我心中。”要敢说，这是我一直深爱的电影。,若干年后，2010年12月27日凌晨一点半，我不知道还有谁醒着没睡，还有谁和我一样，刚重温过这片子，或是刚刚打开准备重温。我又哭得很惨，这是毫无疑问的。我想，之所以不情愿活着，是因为没有那个如此相爱想要厮守的人；不情愿死去，是因为没有一个人如此爱我，值得我为他去死。,永远是我在电影院所看过最好的电影,生死两茫茫不思量自难忘
摔跤吧！爸爸,9.0,1040458,阿米尔一人饰演男主角19、29、55岁三个人生段。他首先完成了19岁的戏，然后疯狂增肥，一个月时间变成了体重194斤的55胖大爷，拍完老年戏后，又用5个月的时间疯狂减肥，回去拍29的戏！所以：为什么要这么折腾自己？直接拍完29再拍55不就好了？阿米尔说：那样我就没有动力瘦回去了！,根据真人真事改编，讲述印度一块女子摔跤金牌的诞生。剧情热血逗乐，竞技惊心动魄，挑不出什么毛病的宝莱坞电影，父女情尽在不言中。阿米尔·汗太敬业了，为了一闪而过的几秒就把自己的身材从肥胖练成魔鬼，好演员都是用生命在演戏啊～,关于本片价值观－不看社会背景就评判三观就是耍流氓。在印度的社会状况下，女性是没有自由选择职业的氛围的，先破才能立。就像片中父亲对女儿说的－你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。最后，这场斗争的意义早已超脱出父亲一己的梦想，升华了呀。,这么好的一部电影。。弄得这踏马什么破译名。。听起来像儿童片似的。。,在印度看得169分钟，一部处处衬着男权和父权的女性电影，女儿没有任何选择权，被父亲残暴地教育成为世界冠军，这个冠军的“正确“结果就意味着父亲教育的正确了。意外这部电影宣传期在国内口碑这么好，大家去看完整版吧认知会反转的
消失的爱人,8.7,608635,相信我...其实，这就是马伊琍和文章的故事...,婊子配狗天长地久的故事……值全价票……,男：我们互相折磨，互相控制，这样有什么意义呢？女：这就是婚姻。,哈内克似的割喉真是万能药...大卫芬奇要多恨现代媒体。美国社会结构就是少数精英控制了洗脑话语权，而大部分人则自觉或者不自觉地维护着虚幻的道德...,IloveDavidFincher!P.S.:开始前，旁边坐在一群couples中的单身小哥无聊郁闷地喝咖啡；结束后，他幸灾乐祸地跟我说，Noweverycouplefeelsnogood...
指环王1：魔戒再现,9.0,521688,于我，魔戒永远是不可逾越的史诗。,每次看魔戒都会被奥兰度惊艳到~,说实在的我很讨厌大片制作精美情节招人讨厌,一口气看完三部白金加长版，对于这样的片子，只有两个字形容：经典。相对于骇客帝国，这三部的连续性非常好，值得称赞。,在拒绝好莱坞N年后，一次意外的走入影院，我成为了LOTR的死忠，总有一个绿衣服的弓箭手在眼前晃悠，我冒着花痴般的笑容，历史就此翻开了崭新的一页。
