电影名称,评分,短评数量,热门短评1,热门短评2,热门短评3,热门短评4,热门短评5
驯龙高手,8.7,全部 77675 条,虽然没有皮克斯那么有深度，故事情节也略显老套，但是好的电影就是能让观众沉浸其中，不管是用画面用音乐还是用其他的。错过档期没去电影院看3D只能说是一种遗憾，还好720p的效果也十分的赞，这应该是我今年到目前看过最好的一部动画片。★★★★☆,太喜欢无牙了，外表凶狠，内心像个孩子，摸头杀太萌了，想养,90分钟绝不冷场愉悦刺激的观影体验！3D技术的进步更是锦上添花~恰到好处的笑料，让人爱不释手的角色，精准传达的主题，精彩的动作场面，都是此片绝对值得推荐的理由。遗憾的是仍有缺陷，使影片仍算不上完美。,我怎么觉得一点都不好看呢。对于那么喜欢看动画片的我来说。情节实在有点弱。,尽管对人与龙关系的描写未免逼格过低，但小嗝嗝和没牙间的互动着实非常挑逗，有着浓厚的情色意味，堪称是对反抗与驯服的银幕经典描述，美中不足的是小嗝嗝没能战胜直男的劣根性，把女朋友也带去骑龙，上演了一出小三上位的戏码，大大降低了后半段的观赏性，令人扼腕。
萤火之森,8.9,全部 66512 条,我说………………既然树枝和毛巾可以，那么手套也不会有问题吧…………所以婚姻幸福就指望保险套了……………………………………………………………………,时间停止在阿金消失的那个夏天，一生一次的拥抱放在回忆里不会变老。,有些故事，就算早已烂熟于心，再看时也还是忍不住要哭的,我有多渴望触碰你，我就有多害怕失去你。,在那个夏天那片森林 拥抱你 离开你 记住你 就知道是死虐
恐怖直播,8.8,全部 88204 条,小人物，大成功。低成本，高票房。热电影，冷导演。旧模式，新包装。雅追求，俗定位。内棚衬，外景托。熟表演，生情境。远特效，近手持。慢推入，快剪辑。有利益，无朋友。左警察，右悍匪。正势力，恶交锋。假道德，真和谐。恩未报，怨已结。问有主，答无解。单兵战，双人桥。哭邻国，笑天朝。,这种题材的电影有漏洞在所难免，但韩国电影能做到这一步值得称赞，几乎是一间房子中的故事，格局却相当大，节奏紧张，剧情张力太强，舆论、媒体与政治的黑洞令人反思，结尾比搏击俱乐部还激进，美国估计都不敢拍，但韩国敢拍能拍。河正宇的独角戏太强大，五星。,一个人怎么能成为国家公敌！结局是必然的  棒子能拍出这种电影让人震撼的 ps:韩国的电影审核制度真宽  这要是在天朝...哈哈,放中国肯定是犯罪分子被感化自首了，不对，中国压根就没有恐怖袭击。,爽，国内不可能有的剧情
菊次郎的夏天,8.8,全部 77559 条,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,幽默，小伤感，公路电影，难得的好片子，大陆至今无法涉及并能拍的片子,而我只看到了深深的孤独，两个孩子的孤独。,爱有很多种~跟一个流氓过暑假会有这么好,讲述一期一会的电影，即使是在炎热的夏天却让人感到清凉和温暖，真正的笑中带泪。碎片北野武，好心的菊次郎先生~
幸福终点站,8.8,全部 57444 条,我差点以为Tom Hanks是智障，但他其实是不抱怨，他踏实，他愿意等待。,亲爱的，有时候幸福需要等一等。,太好看了……五星都嫌少,“Viktor终于明白，这个世界不是按他自己的方式前进的；身处其中，只有为自己挣个好生活。” ,机场如同荒岛，还原了一个本真而奇妙的孤绝求生状态。语言不通货币没用失去了祖国的庇护，真正孤家寡人的感觉。最近重温经典老片子，感到动人的故事的张力，剧情由故事推着走，而不是电影由人推着走。很喜欢这种难以预测下一秒会发生什么的感觉，孤绝的机场反而有种温情大家庭的感觉，只是三观太正了。
爱在日落黄昏时,8.8,全部 74056 条,"“从某种意义上来说，我所有的浪漫
都在一夜之间消耗光了...”",好的不得了的对白,最喜欢一起上楼梯那段，也是两小时话痨电影里唯一没有对话的一段，和九年前两人在视听室里一样，安静，尴尬，暧昧得浓厚。,这是我看过的关于男女相遇相爱最美好又最清醒的电影。,欲买桂花同载酒，终不似，少年游。
超能陆战队,8.7,全部 126263 条,白馒头的专场 剧情弱 但做得真是帅 小细节眼花缭乱 倘若那SF旧金山是真的 我愿意在那儿呆到死 Baymax小碎步慢慢倒腾&各种卡门蠢cry Stan Lee老爷子真土豪 有绚烂的飞行的场面(估计是眼红隔壁棚驯龙记) 其他人尚好 唯独熊孩子那身基佬紫不能忍 哥哥实在太完美了...,现在的动画都以卖萌为主题了，比如这里的大白，大概是一个萌熊的体验，或者是会移动的超大棉花糖，这也成为本片主要卖点。影片将迪士尼与漫威结合，人物设定与动作场面确实很漫威，很美漫超级英雄。而主题却还是迪士尼的亲情与成长之类的东西。斯坦李仍有客串，果然不放过每部漫威。,3.5 气球人真是很可爱，比那个贴胶布条的片段还要可爱！感觉短腿要开始流行了。但故事整个太模式化了，情感简单粗暴，感觉自己是婴儿，被喂了一套营养均衡的婴儿餐似的... 整个城市设定让人有点想看日语吹替版...,史上最萌胖子诞生！要抱抱！彩蛋里的斯坦·李也是蛮拼的！,【大白，卖的一手好萌】一波三折，妙趣横生。悬疑和温情，搞笑与动作，即使拍成真人版也绝对是一部好题材和好故事。大白呆萌可爱一逗比，细节刻画真实有趣，放气如放屁，警察局撕扯胶带还有低电量时如同宿醉一样。最后，“I will always with you ！”绝对催泪。开年最佳动画！
无人知晓,9.1,全部 47903 条,真是可爱的孩子啊。从《距离》之后，是枝裕和的电影就越来越生活化，有些纪实的风格，琐碎的生活细节，两个小孩甚至算不上表演，即兴发挥的表演也让这部电影充满了生活气息。更难得的是，面对这种狗血的题材，是枝裕和却并没有煽情和大喊大叫，只是让所有角色一起忍耐、承受着，连同观众一起,寂寞放入时间，死生藏进四季。你怎么不来玩了？问出的都是寂寞离散；这就算告别吗？道尽的皆是生死喜悲。泡面桶种下了盛与衰，行李箱藏匿着生与死。头发长了蜡笔短了，寂寞随季节更迭；灯泡暗了蜡烛亮了，生命与时光流转。日复一日无所事事，只好承载思念。最好的一次是枝裕和，最残忍的一场成长悼念。,初工作时认识一位同事，有次一起出差时他忽然对我说起，他从小是被遗弃的孤儿，曾在垃圾堆捡废品为生，那是个夏天，他说话时常走在我前面，白衬衫上有星点的汗印。昨夜看此片，明在午夜霓虹中奔跑的身影，又让我想起他那件刺眼的白衬衫，一瞬间心酸莫名。这些，都是在世界的某个角落里，真实的人生啊。,看了开头以为这是关于爱的电影，其实这是关于无爱的电影。镜头和音乐看上去无比小清新，看进去之后，却无比悲凉。这四个孩子就像他们在路边捡的种子一样被丢弃，被遗忘，在角落里毫无希望地生长。方便面杯上写着的名字，终于出门时阿明的一笑，以及出门那段的轻快音乐，是仅有的动人时刻。,8.75 是枝裕和、许鞍华这样的形式上走平淡路线的导演，就应该拍有兴奋点的故事，比如不平凡的人物背景，走向极端的故事展开等，平淡的形式对激烈的故事有天然的压制效应，可以产生反作用力来打动观众。所以杨德昌能成为大师绝非偶然。
借东西的小人阿莉埃蒂,8.8,全部 67043 条,我相信他们终有一天还会遇见的。,阿春那种无缘无故的残忍和仇恨是怎么来的呢？不过想想我小时候也爱水淹蚂蚁什么的，大概是同一种心理吧。,吉卜力的动画里，总有个坚强的姑娘。最后送别时阿莉埃蒂摘下发卡，栗色的头发飘起来，她把它送给翔，说把它带在身边，翔微微睁大眼睛。我就是在这个时候，掉下了眼泪。阿莉埃蒂也掉下眼泪。一年多以来几乎没有什么戳中我泪点的电影。少女说“你保护了我，很开心。”而少年只是轻声呼唤着少女的名字。,"正好赶上跟朋友们say goodbye,各自回国的时期，哭的一塌糊涂。尤其是最后那句，“你是我心里的一部分”和“不要忘记我”，那么悲催。",这是千与千寻之后我第一个从心底喜欢的吉卜力，中间那四部mediocre的作品好忘掉了
神偷奶爸,8.6,全部 91495 条,绝对史上top 5级别的动画片！！豆瓣评分不上9没天理,太喜欢里面人物的造型了！！！里面那个扎冲天马尾的小女孩萌到我心都融了。。。,那群黄黄的不知是什么的玩意儿很有爱的说～本片同时适合所有大叔控观赏：）,这个动画片再次证明了，不怕讲老故事，只需要有颗不老的心。打动人的是里面的小情趣，小可爱，小孤独，坚硬外表下谁都渴望一颗被温暖的心。真的远比toy3得我的心。,精彩都在片花，没太大意思
怪兽电力公司,8.7,全部 46170 条,"简直就是最爱啊！编剧太可爱了,居然能想到用孩子的哭声和笑声作为电力能源。什么叫创意?这就叫创意~~",kitty长得有点像姜文~,买了张蓝光碟，再次重看，画质优秀了，似乎离怪物们更近了，原来毛怪10年前的毛发就这么逼真了。再次感叹皮克斯的创意和想象力，最棒的地方也就是这个创意了，皮克斯的动画片过程可能都很相似，唯独创意个个都很独特。★★★★,很容易被错过的精彩故事，感动了被，狠狠的,和女儿一起看的，她比阿布还要可爱。
风之谷,8.9,全部 32766 条,"当女主角在黄金之海上复活的时候,我那发达的泪腺又西里哗啦了..",宫崎骏的主角为什么都是女生==,“火在一天之内把森林烧成灰烬，水和风却需要一百年以上的时间来造林。”环保题材的一部动漫，宫崎骏的作品值得看。,泪了，她复活的时候。,宫崎骏镜头下的美都是最自然、原始、野性的。设定大胆，配乐大气，可惜影院放的是英文吹替版= =。。。【豆瓣的大家！为什么都在讨论娜乌西卡有没有穿内裤呢！。。。
玩具总动员3,8.8,全部 55923 条,"闪耀着万丈光芒的又一动画杰作。每一处笑点都能轻易抓到，让我就像是回到了15年前，开心到得意忘形。最后一场戏动人程度堪比UP的""married life""!",它对于我已经不仅仅是一部电影那么简单，而是代表了对于童年时代的记忆与怀念，整个电影院从头到尾笑声不断，但我相信，更多人会被影片的后半段打动，相信看过前两部的人都会很感慨。★★★★☆,还记得你的那些玩伴么？,感觉很平淡呀，难道童心离我而去了吗？no...另外，3D效果不如驯龙高手。,"虽然是动画片，但没有一味地弘扬真善美，也反映了人性丑恶的一面。
比如抱抱熊罗素，它被替代了，它自己要走，还强行要别人也跟着离开。
胡迪救了它一命，它还恩将仇报。
除此之外，它还挑拨离间，企图让巴斯光年背叛朋友。
软的不行就来硬的，将巴斯光年恢复出厂设置，甚至提醒巴斯光年“当心它们对你用反间计”，太可怕了。
幼儿园充满黑暗和邪恶，连玩具也存在金字塔制度，分阶层和等级，有各种明争暗斗。
有卡车队伍巡逻..."
完美的世界,9.1,全部 36683 条,我只杀过两个人，一个伤害了我妈妈，一个伤害了你,他杀过人，却未动手打过一下菲利普，这段通往地狱的旅行过程中，当他看到妈妈因为怕孩子把新车弄脏而打骂孩子；爷爷嫌孙子动作慢而对孙子抬手耳刮子时，眼底的愤怒与不屑、憎恨与仇视，皆因他拥有一个对任何人都拳脚相加的父亲。这段近似父子的不寻常感情在影片结尾得到升华，我亦哭得稀里哗啦！,灵魂在天上 看着绿草如茵的地方……,喜欢凯文.科思特勒,标准的有点像是教科书里的故事
血战钢锯岭,8.7,全部 130437 条,救人75命，胜造525级浮屠。,"美国抗日神剧：乡巴佬,不杀人,信上帝,救队友。前一小时昏昏欲睡,而且新兵营抄袭<全金属外壳>.全片最好的就是40分钟的战争戏, 剪辑不错,混音很好,配乐能给老美煽哭。电脑特效五毛,化妆能让你吐出来。适合那些从没在电影院看过什么正经战争片的观众。槽点密集,比如日军冲到悬崖边却不扔手雷,人肉小吉普…",李安想告诉我们英雄是会软弱会迷茫的平凡人，梅尔吉布森告诉我们英雄都是神一样的人。但是这部片的好处是，同样是展现人的神化，它可比手撕鬼子的剧真实多了。大概是因为真正的神从来不觉得自己所做的一切常人难以企及，他只是谦卑地认为自己做的还不够。克制是最大的美德。,3.5，救人那段确实挺燃的，但别的部分掐了手心一百多次才没睡去。美国抗日片里的日本人比中国抗日片里的还不像人啊。,3.5 前半小时和爱情戏俗得发指，从入伍开始才走上正轨，上战场就很好看了，虽然时不时出现的槽点还是会让人出戏，但最后成功被煽到。Bromance基友的存在感和感人程度抵十个女主告诉我不是一个人。对加菲的印象也大有改观。
上帝之城,8.9,全部 37241 条,评论这部电影是可耻的,枪杆子里出政权《毛主席思想》,li'l的发小同伙眼镜benny太可爱了...五官一点都不像典型黑人，笑起来还有甜甜的酒窝..迄今我看过的最好的拉丁电影,再凶残的成长和再迷茫的反思最后还不是一场警匪勾结得救之后却扑街了事。一切都是轮回，还是作为乱世摄影师的正当职业好啊。,形式与内容并重的经典。巧妙的多线叙事，人物相互穿插、叠层、牵扯。各种枪击事件的发生以俯拍的九宫格式的构图来呈现。在无主之城里，江山易主是为常事。开始的结束——群人拿着枪捉鸡——结束的开始。“我现在不叫阿炮，我是摄影师威尔森·罗利吉。”
傲慢与偏见,8.6,全部 98421 条,乔·怀特对长镜头有种奇怪的迷恋，总会用那么一两处调度极其复杂的长镜头。美术真棒，布景超华丽，外景也漂亮，摄影很美。情绪很饱满，有几处细节很用心。当然，对于原著党来说，她们是永远不会满意的,"拍得挺美的,拍名著只要不把它拍砸了就是胜利",喜欢导演对光线的运用，很多时候特别唯美。那个时代表达爱情的方式含蓄中有热烈，两人间保持着礼节的距离，目光却可以表达纯净、真挚的情感。片中温馨，平和的氛围，宛如一杯午后红茶，音乐也相当不错。但始终更喜欢BBC版。★★★☆,特別喜歡 看很多次了,"温馨的结局,看到和爸爸谈话的那段,哭了"
时空恋旅人,8.7,全部 89853 条,1、三观够正，道理积极；2、故事想法很有意思；3、原声配乐很好听；4、剧本有问题，过度弱化冲突，故事本身除了舒服外没有说服力，life is much harder；5、太多旁白只说明剧情推进的乏力；6、镜头不时莫名其妙地晃；7、片子质量有三分，给到四分是私心,“我试着过好每一天，就像我已经穿越回去那天一样，去享受它，当它是我非凡却又普通人生的最后一天…跌跌撞撞和摔倒都造就了现在的我。” 扔掉可反悔的《人生遥控器》，过好每一天！50%的浪漫爱情+50%的家庭亲情和人生感悟，不如《真爱至上》《海盗电台》浪漫的彻底，却也直抵人心。打个俗分4星。,一般充满温情正能量，几个容易引起美好共鸣的桥段比如婚礼，生娃之类，再配上一个有点儿笨拙但绝对善良痴情的男主，都能在豆瓣上拿个虚高的分数。,编剧的笔尖犹如乐团指挥家手中的棒子，弹指之间，我们的欢笑与泪水全然失控。每一首配乐，每一段对白，都是如此触动心弦。,"是放在硬盘里很久了的电影。今天无意间看起来，却意外哭得撕心裂肺。比起片中的爱情，更让我触动的是男主与父亲的亲情线，看完电影马上给父母发了我爱你。 btw,仔细想了想，我庆幸自己没有回到过去的能力，否则可能也会不由自主的修正每一段回忆，但其实正是这些遗憾的笨拙的回忆造就了我，让我是我啊"
电锯惊魂,8.7,全部 54504 条,最后五分钟让我全身发抖！,这其实是个励志片好不好，杀手先生告诉俺们即使在生命的尽头还是能干成很多事情滴~,硬伤多，黑人警察傻到爆炸,看第一部的时候着实被他的情节设计给惊讶到了。,第二次看，感觉着仍然是一部顶级的血腥电影，结构和叙事都很牛逼，叙事张弛有度。
喜宴,8.9,全部 47680 条,这片在20年前是多么得前卫出格阿！！,少年时看过后存在硬盘里，想着哪天出柜时放给母亲看。后来母亲走了，我没能给她一场喜宴，也没能给她看过这部电影。这一生再也没有机会了。今晚我囫囵吞枣地又看了一遍，然后删除，从此没有福分将它留在硬盘里。,昨晚看李安的采访，他说「在变化得太快的社会中，孝道该何去何从。人好像只能去接受和追赶这些变化，其实是很无奈与惆怅的。」家庭三部曲终于看完，这部编剧太妙，如果说「饮食男女」是在调和传统伦理与烟火世俗，那么这部则在调和中西、以及传统与现代的文化。PS：李安那惊鸿一瞥的客串。,李安自己在里面演路人甲划重点敲可爱！“让你们见识一下中国人五千年的性压抑”哈哈哈哈哈哈,《喜宴》最好的地方在于拍成了喜剧片，而且真的能让人笑出来，如果板着脸讲这个故事，说不定就味同嚼蜡了。这么多年李安对于乖乖仔的审美一直都没什么变化，从赵文瑄到托比·马奎尔、王力宏和比利林恩，他就是喜欢五官深邃且人畜无害的大男孩。
教父3,8.9,全部 24803 条,维多·柯里昂死于极乐，旁边是一个机灵的毛孩；麦克·柯里昂死于极悲，旁边是一只棕色的小狗。,看到最后要哭死了，可能因为总算有终了，这是教父系列我最喜欢的一部。另外想问问索菲亚小姐，您演技差也没关系但是没见过人死吗。。。。要不是帕西诺在嚎啕就完全没泪点了。,本来冲着索菲亚·科波拉要少打一颗星的，但是看到她被杀死了好开心啊！！！！,《教父》系列完结之作，表现力和深刻性绝不亚于前两部！阿尔·帕西诺老了依然魅力十足，演技更无需赘言。片中依旧是很多一针见血的箴言，另外相比前两作这部感情和家庭戏份增多。影片配乐太动听了，高潮部分那段歌剧演出与腥风血雨明暗平行剪辑的场景真是美！（9.0/10）,对政治的结露辛辣精确，对Michael的刻画终于成熟，影片氛围观感均保持一致，但韵味上留白欠缺。帕西诺的表演令人难忘。
谍影重重3,8.8,全部 33498 条,车站和小镇两段，绝对的经典。,Matt各种有型,作为经典系列的完结篇，依旧成功延续着这系列出色的风格。精练的对白、扎实可靠的表演、华丽的剪辑和原声。无论是过程还是结尾，始终扣人心弦★★★★☆,第三部，男主角终于不再杀人，因为他成佛了。自从他遇见了CIA的女观音菩萨后，就走上了成为斗战胜佛的道路。,浓缩版的《24》，回归版的Jack Paul。细节非常到位，情节紧凑到没时间上洗手间。滑铁卢车站那一段经典。
岁月神偷,8.7,全部 95946 条,每个人都有一场被岁月偷走的记忆。眼泪流了那么多，但丝毫不觉得煸情。节奏虽慢，但不琐碎。很喜欢李治廷的表演。这一场感动，来得无比自然、真实而朴素。难一步，佳一步。一步难，一步佳。有这样的爸妈，我们难道没有理由看得见天空中同时出现的两条彩虹吗。另，海报上明明不可以少了李冶廷的份嘛。,如果你觉得只要电影里有人得白血病那么这部电影就是烂片的话，你不就不要看这部片了。,哭死我算了。,主线太俗套，全靠细节、意象和所谓香港精神支撑。最后小弟弟扔掉英国国旗为了“同亲人重逢”，还真tmd和谐,影院里我哭的跟罗进二似的
英雄本色,8.7,全部 43926 条,“杰仔，你冇错到，我地大家行嘅路唔同，你行嘅路系啱架，以前我行错咗，宜家行翻啱，都唔算太迟。”这句真感动。如果把兄弟情都看成基情，这真的挺可悲的。,“做人有原则，就什么都不怕。” 真的不敢说这是我第一次看《英雄本色》，并不需要多么复杂的炫技，好电影从来都很简单纯粹。怀念最好的港片年代。“他有勇气去改过，你有没有没勇气去接受？” 上海电影节4k修复版。,小时候还看不懂这片的情怀和意义 只看枪战精彩程度 更爱第二部 如今长大 回头看 浓浓的江湖兄弟情 讲义气 在那个年代盛行 如今 这世道变了~ ,早年录像厅模糊印象 夜里被和某人重温了下 大叹原来当年主流片也这么恶心啊！ 张国荣还略显稚嫩 当然这也和面具化的人设不无关系 和十三少 风月 阿飞还远不能相提并论。兄弟情义的问题么，这叫人心慌，这叫人心慌。一向不怎么待见吴宇森的，“我已经倒霉了好多年”令人笑场。,5年没看了，此次在巨幕厅重刷，竟然被感动的热泪盈眶。虽然有着诸多瑕疵，但仍能感受到那份朴实真挚的兄弟情。尤其是下午刚看完《追捕》，高下立判，三十年后的吴宇森电影变得如此浮夸与做作，失去了那种最打动人的底蕴。映后见到垂垂老矣的吴宇森，突然也不想过多地批评他了，口碑如何观众自有评判。
七武士,9.2,全部 26022 条,和教父是一种类型的电影，突出人物性格，故事情节也曲折。最后真的是人民战争海洋。很有几次，都觉得这也可以算一部写中国人的电影，比如农民的狡猾与认命等，到最后的我能！,真正的经典，总是让人无语。,完成度之高啊！三个半小时下来连个低潮都没有，后来的《影武者》、《乱》都比不过这部。每个人物性格都非常鲜明，志村乔仿佛一灯大师，三船敏郎似韦小宝，久葬是独孤求败，胜四郎像段誉……唯一的问题是志村乔剃完头怎么这么像张丰毅呀？！,五十多年前的动作片，久看不厌，历久常新，大师的功力不同凡响,世影史：本片可说是日本名导演黑泽明第一部真正加入西片趣味的时代剧，他虽然意图将这部片子拍成彻底的娱乐动作片，但事实上，整部作品仍充分流露著黑泽明式的人道精神。影片构造了一个包含着深刻隐喻的寓言，揭示了日本武士阶层的特殊生存状态与必然消亡的历史趋势。
被解救的姜戈,8.7,全部 90841 条,舒尔茨大夫不远万里，来到米国。一个德国人，毫无利己的动机，把强哥的解放事业当作他自己的事业，这是什么精神？这是国际主义的精神，这是基友主义的精神，每一个好基友都要学习这种精神。,waltz魅力十足 却死的那么酱油。。。,"昆丁稍微一用心，就足以窃笑着俯瞰众生。我觉得他最牛逼的一点是可以让所有大牌演员在他的电影里集体迷失自我，并被注入昆式狡黠腔调。当然，这种腔调不仅仅是表现在角色身上，配乐、运镜和台词通通昆丁范儿，乖、贱、粗暴、不可复制。Who's the nigger? D-j-a-n-g-o,D不发音。",感觉比《无耻混蛋》都要好看啊！,或许不是年度最佳电影，但极可能是最令影迷们过瘾的电影。不再在结构上费心编排的昆汀这次采用了更为传统的单线程叙事，他向通心粉西部片、香港武侠片甚至自己的《无耻混蛋》致敬。混搭音乐、暴力、语言（特别是外语）再一次成为手下重要的道具。塞缪尔·L·杰克逊奉献了他《低俗小说》以来的最佳表演
功夫,8.5,全部 62163 条,重温星爷的功夫，猛觉得这是部无比伟大的电影！,华丽的夸张，情节倒是紧凑，毫不拖沓,个人认为这是星爷作为导演拍的最好的一部片子。,不知道为什么这部电影的评分这么低,不知道看第几遍了，只感受视听语言和节奏就已经共振到流鼻血的程度。
疯狂原始人,8.7,全部 113196 条,和这个比起来ice age系列弱爆了。。。and没有男人有不要捉急，只要你力气够大，身为女汉子你总有一天能给自己抓一只男盆友,就让动画片拯救全人类吧！！,绝对今年最好的动画片！我凯奇叔和石头姐配音赞爆了！泪点低如我最受不了梦工厂煽亲情！后1/3都在为凯奇叔流泪~老掉牙的外来乱入和一家冒险！但架不住拍的好啊！梦工厂拍成这样再老掉牙的设定我也乐意看！人见人爱无可挑剔五星五星！续集快到碗里来！裤腰带和坦克莫名的萌啊！结尾的飞翔太诺亚方舟了！,绚丽的3D效果+随机乱入的萌物+搞笑亲情大套路+点睛式的人生说教，人见人爱的作品，想象力和娱乐性爆棚；但捧为神作有些过了，它既没有Pixar经典作品的原创性和灵动感，也缺少梦工厂传统大作的独特个性和贱趣味！,同样是「冲破阵规」的主题，这个比brave无论在选题还是故事上都有趣多了。远古生态环境的设定也很有趣。croods一家的戏份摆得很好，都个性鲜明又不会抢了主角的光彩。清新热闹流畅加一点小狗血。当皮克斯变成迪尼斯的时候，梦工厂变成了皮克斯。果然是「爱你就会变成你」，相杀相爱神马的。
哪吒闹海,9.1,全部 17253 条,哪吒要是搁现在，就是一少儿精神病患者：躁郁症、暴力狂、自杀倾向、逆反心理……辅导人员要密切关注他看什么书，听什么音乐，玩什么电脑游戏，业余时间从事什么活动，必须定期参加心理辅导，服用抗躁郁症药……比美国哥伦比亚中学枪击案主谋更犀利的家伙,"哪吒刚刚降生，李靖就想一剑劈了他；
龙王恶人先告状，李靖却丝毫不听哪吒的解释；
哪吒制服了龙王，李靖又叫人把他绑起来；
面对四海龙王的报复，他甚至想杀死哪吒……
是怎样的父亲，才会对自己的亲生骨肉心存偏见？
是怎样的父亲，才会胳膊往外拐，站在别人那边？
是怎样的父亲，才会是非颠倒，不分青红皂白？
并非所有的孩子都是熊孩子，反而是很多父母不配做父母。
在这个“百善孝为先”的国度，《哪吒闹海》没有跟风...",一个彻头彻尾的反叛形象，也是中国银幕史上一段极为少见、如此尖锐、激烈和惨痛的反叛历程，相比于孙悟空和天庭（统治阶级）的对抗，哪吒做出了中国传统观念中最艰难的一种反叛，在于“孝文化”是深植骨血之中的，是几千年不允许触碰的绝对底线，被他用一种最悲壮、最惨烈的方式夺回了自我的控制权，告诉所有人，“身体发肤、父精母血”，所有受之父母，又反过来牵制和束缚的，我统统还给你们，哪怕是我赖以为生的东西，去挑战一种...,拦腰斩断的六十五分钟 被斩还有 吃人 被吃 弑父 权权倾轧 “这还你的骨肉 不连累你” 这是最大的背叛 委屈 和孤独,形式上没能超越《大闹天宫》，却带上了过重的政治隐喻。还是该轻松点儿好。
天书奇谭,9.2,全部 14416 条,中国动画的巅峰。,畸形性格的形成跟这些家伙绝对有关,蛋生不是生蛋。,这个好看，童年回忆,动画好多，经典的却很少，是吧蛋生。。。。
