电影名称,评分,短评数量,热门短评1,热门短评2,热门短评3,热门短评4,热门短评5
冰川时代,8.6,全部 33401 条,不同类，要成为集体，是多么艰难，又是多么简单 类与类融合很难，个体与个体相爱很简单 爱都是个人的事，与种族无关,成年后再次接触动画片的最初几部，当年刚上大一，跟《怪物史瑞克》一样刷新了我们整个宿舍的眼界，动画片可以这样精彩和不分年龄。,喜欢看动画，心情放松。这部迪斯尼动画还是一如继往的提供心灵鸡汤，干了它。地球是人类和所有动物的共同家园，怎么和平共处这个问题被反复提起，我们良心发现爱心汹涌时每个动物都好可爱啊，可也不妨碍当它们影响我们时我们顺理成章的动手，当我们食欲大盛时把它们变成餐桌上的美味佳肴。,说明了人类的孤芳自赏与自大无知，在史前一万年前动物们就已经知道如此了。老虎都这么有情，叫那小孩情何以堪。原来唯一不会使用英语的竟是人类，更讶异的是，那小松鼠直接改变地球生物史。其实他才是主角.8分,哈哈，那只贱贱的松鼠实在是太令人想搓拉几下啦。
哈利·波特与阿兹卡班的囚徒,8.6,全部 32146 条,比前两作进步多了，hp系列电影第一次走出了平铺直叙。并且居然还有了点儿dark的风格。,能感觉导演想拍出不一样的Harry Potter,这一部比前两部好看,回顾一下发现第三部也很喜欢的哎wwwwwwww换了导演整个节奏都不错，双胞胎在这部里各种萌点活点地图也♥♥♥,前半段不知道讲了些什么反正吞掉了很多时间，后半段就相对比较紧张，卢平教授这个人物不错，从人设到演员都很出色，不过剧情很硬伤，完全没想通穿越后的哈利为毛能在毫无预兆的情况下直接放大招，还有这部片子出现了一个很愚蠢的控制时间的道具，有这东西基本无敌了还怕什么伏地魔
海边的曼彻斯特,8.6,全部 102318 条,那些劝我们向前看的朋友，“不是所有人都可以和过去和解”,Lee说话是不是美国周杰伦,逃避虽然可耻但是有用。,又名《回忆杀》。有遗憾和失望，二刷后感觉对角色的好感甚于电影，卡西的角色写得演得太饱满了，让我对这个角色产生了依恋感。,人生的伤口，二十五岁之前怪父母，二十五岁之后怪社会，最惨就是巨大伤口摊开在那里，腐臭流脓永不愈合，然而，无人可怪
海街日记,8.8,全部 74458 条,娶大姐为妻，和二姐谈恋爱，把三妹当妹妹，生一个四妹这样的女儿。我爱这温暖治愈的四姐妹，像爱我用心写过的四首诗。,四姐妹在自己家还得穿胸罩，看来大家的关系也没有很好！,把绫濑遥、长泽雅美、夏帆拍得美，是一件太简单的事——譬如开头。但在多数时候，是枝裕和故意让她们显得没有那么美，与那座老房子和日常事物紧密粘合。一花一世界，一木一浮生。反正打开二十秒，后面就停不下来，不想快进不想暂停更不会想关掉。说很平淡很无聊的，开什么国际玩笑啊。,是枝裕和永远我的菜啊，暖暖慢慢的，有点悲伤有点小高潮却不会改变太多，摄影台词配乐节奏都扎实的要命，没见过写异母姐妹写的这么棒的，夏帆的咖喱，MA酱的长腿啤酒，奶遥的情妇轮回与母性逆转，当然还有小妹，那个最像成人的人，看得人数次落泪。#戛纳电影节#,不能以过去的眼光去看是枝裕和了，发行从艺术院线到东宝，五十多岁的是枝裕和才第一次拍摄人气女优主演映画，一来还是四个，“压力”确实不小。电影虽然剧本和剪辑上都有些问题，但“女优美，长腿美，镰仓美，日料美，生活美”可以掩盖了这些问题。四姐妹几乎都完成了自己最好的表演，年度推荐！
二十二,8.7,全部 52863 条,关于应不应该拍这个问题，没有记录，最后真的会变成从未发生过。记住并不是为了带着恨，只是有一些东西不应该被遗忘。,题材很好，但是这部纪录片几乎没有成形的故事，以大量空镜头表现情绪，对内容进行碎片化的罗列，而挖掘不深，镜头语言上的调度目的太过于显著。虽然知道拍摄很难，但是纪录片毕竟不是写调查报告，必须作为一个成熟影像展现给观众。,"同意“抢救式记录”的说法，初衷值得肯定，但这种题材光以情动人还远远不够。
动不动就以各种漂亮（却做作）的空镜串场，开始还是因受触动而落泪，中段起基本都是因为哈欠了。“去苦难”适得其反，内容单薄隔靴搔痒，素材组接无力，没空镜就成了个短片访谈录。“唯美”的制作思路其实更接近剧情片，然而呈现出的效果却更像一场以慰安妇老人为主题的摄影展。同样是拍采访，得学学人家王兵“人类学影像”的力量是从哪里来的。",3.0。1.相比《三十二》的深植内心，本片更倾注于昔日慰安妇的群体化描摹，或许更具史料价值，而非个体生命价值。2.对于郭柯的拍法，有人觉得投机抑或愤怒，在我以为，仍然算得上是一场值得去做的抢救式纪录。,看看那些整天喊着要打仗的脑残们。
虎口脱险,8.9,全部 24667 条,永远看不腻的喜剧！,老少皆宜，上海译制片厂献声,果真是经典。,笑不出来，想看英文版，可是找不到~~,经典喜剧，看过很多遍，鸳鸯茶鸳鸯茶，哈哈
新世界,8.8,全部 47443 条,好伟大的爱情片，我都快哭了,md，太好看了，害怕她一点点演完。虽然一开始就猜到了结局，但是拍的真带感啊，尤其是戏骨黄的车库突围戏，那叫一个悲壮。棒子又一次感动了我，好电影,香港黑帮电影被弃之如敝屣，逐渐走向末路。韩国拿去玩的得心应手，这部明披着《无间道》皮，暗里却走着《黑社会》路线的影片，在模仿的同时还犹有超越。警匪两道的黑暗，兄弟情义的渲染，几乎让人压抑窒息的节奏掌控，和一黑到底的结局，五星。,韩国电影的山寨路线中心思想就是【西巴！】——要做就做狠一点，于是，新鲜的东西就出现了。,如果没有那么多半天说不到点子上的对话就更好了。这个故事可比无间道有内容多了。现在想想，无间道的故事看完，就记住了梁朝伟的小胡子，其他什么都无。新世界的那种步步进逼，到后来改变人生轨迹的路子，真是好看。还有，仓库揭发两卧底哦片段，和无间道2里相比，李政宰的表演太好看了，余文乐忒嫩。
房间,8.8,全部 61539 条,电影开场一个半小时：卧槽原来这孩子是男的！！！,用孩子视觉掩盖一个冰冷世界，第二次走出“房间”说byebye才真正的走出了房间。“我是个坏妈妈”“但你是妈妈”。世界险恶，但还是很美好的。故事不煽，依然感动。,确实好电影，低成本，无炫技，本以为会很无聊，没想到俩小时里基本没有走神的时候,克制而细腻，在基于母亲的事件论述和儿童视角中获得了平衡。前半部分和后面的节奏把握都很好，小演员的表演令人震惊，一个孩子的真实而纯洁的灵魂，大美。,多伦多人民眼泪奖吧。Room是牢笼，母子俩一直都在逃脱，前半部是身体逃脱，后半部是心理逃脱。前半部有噱头博眼球够精彩，母子第一次在外面世界拥抱时无比催泪。但之后对心理上的转变的处理有点软塌塌，能感觉已经克制煽情，但试图从小孩儿的视角来描述心理上的微妙转变似乎难度过大，没拿捏好。
雨中曲,9.0,全部 26566 条,老电影总是快乐得那么纯粹,“从此以后，我只在乎一个影迷”、“你是我的歌，春夏秋冬”…于是以后，见到这样的路灯，就想扶着灯柱起舞。,我曾无数次从《发条橙》、《AI》、《如果爱》、《WALLE》里看到对《雨中曲》的致敬 今日终于承认：这就是人类歌舞片的巅峰，超越《音乐之声》，秒杀一切，无与伦比。当然 刻画、节奏、布景等等有着非常多的毛病 还是搁置下来 好好看看吉恩凯利俘获美人心时的那副小样吧 这绝对是影史最珍贵的片段之一,经典到无话可说,【A】出乎意料的超精彩，作为一部1952年的电影娱乐性居然超越了大部分现代电影，在火车上笑喷了好几次，后世多少歌舞片和喜剧片是参考了它，当之无愧的经典。
哈利·波特与密室,8.6,全部 30136 条,snape越看越可爱。这部好多梗哈哈。,邓布利多说：让我们成为哪种人的并不是我们的能力，而是我们的选择。,最近在重温这部电影，整个哈利波特系列我最喜欢的就是第一部，看到赫敏、哈利、罗恩小时候稚嫩的模样，最喜欢的场景就是大家刚到霍格沃茨的那部分。,相比于小说中哈利很干净利落地干掉了大蛇，电影里这一场仗可干得很长。,3星半，比哈1加半星，我最不满意就是电影根本都没把要讲的事情讲清楚。如果时间不够的话，变身高尔那对胖子不知道有什么必要描述那么详细，完全是主次不分。金妮的事情根本就没有讲，完全是最后一句话交待，太无语了。
恐怖游轮,8.5,全部 109757 条,不要企图在重复中寻找已经失去的爱,有小聪明，少大智慧~详细一点说：导演有一定匠心，但是全片看太注重一些边边角角部分，整体结构上显欠缺，解释不合理，主线力不从心，细节再装扮的故弄玄虚也算不上上佳之作，姑且三星,太好看了太好看了！！！我要哭了！！！！看得我鸡皮疙瘩乱起！！！六颗星在哪里！！！！在哪里！！！！我要打六颗星！！！！,stay+穆赫兰道+希腊神话+蝴蝶效应,这个237究竟是种么个情况……Jess家门牌号也是它，游轮上恐怖屋房号也是它；最奇怪的是……《闪灵》里面的神秘房间号码还是它……求解释……
人工智能,8.6,全部 54483 条,让我看哭的都是好电影,有些电影，是你在当下觉得了了，而今后偶然回想起某个片段，才会为它痛哭一场的，比如，戴维从残破的大厦上落入水中的那一幕。my love is real，but I‘m not。,不管如果老库在会把片子拍成什么样子，不管有多少漏洞，我都觉得斯皮尔伯格这次都是很成功的，实实在在的打动我了。,这孩子真拧啊！！！话说JUDE怎么能帅得象假的一样。,大卫固然可怜，可小熊比他可怜。每一个都渴望家人的爱，可惜小熊在所有人眼中都只是玩具，包括大卫。虽然他有和大卫一样的思维，却没有和大卫一样的外貌。
魔女宅急便,8.6,全部 39589 条,我喜欢她头顶的大红蝴蝶结，还有狠狠白那个小男生的一眼,宫崎骏的动画总会让人觉得这个世界美好无比。,于是。扫把魔女就变成刷子魔女了啊。。。,我也想当这样的魔女～,这是一部令人身心愉悦的动画片，画面柔和甜美，音乐明快，观影过程如同在海边沐浴着柔美的海风，心旷神怡。两只猫轻轻走过爬满青藤的墙上，那种水粉画般阳光充沛的慵懒午后的感觉在心中荡漾开来，世界是如此美好。这就是我们心目中理想的海边小城，宁静祥和，人们衣着整洁、面带笑容，永远快乐地生活
惊魂记,8.9,全部 34098 条,看这部电影必须回答一个经典的问题：女主角遭到刺杀时，镜头直面花洒，花洒每一条水痕都清晰无误如同肉眼看着一样上镜。请问，摄影机是如何做到的？,且看诺曼的last smile  毛骨悚然！,"""伪""的就是""娘""！",最后那一抹笑容堪称经典。,都不敢洗澡了...
海洋,9.1,全部 31981 条,看完之后深深希望2012快点来，大家抱团死，剩下的生物就可以好好活了。,摄影加一星。影片本身缺乏凝聚力，几乎为单纯的影像展览。,觉得阿凡达很壮丽？你得看看这个。,如果可以给更多的星星，我全部送给这部如诗一般的电影。一个法国老头和他的团队，花了５年时间，耗资５０００万欧元，１２个摄制组，采用蹲点拍摄的“笨”办法，只为你我能够感受到梦一样、诗一般的海洋。７年后，这部电影来到中国，还亏损９００万，我想我们能做点什么，比如一份尊敬。,不需要导演编剧演员，大自然能帮你搞定一切。画面那个美，中途睡着。
疯狂的石头,8.4,全部 58589 条,最可贵的一点是没把观众当傻子。国内电影都指着这样儿拍就行，嗯,难怪老外会看不懂。重庆话版太接地气啊，简直笑死爹了～～～～～～～～,重温。别说，这片还真能经得住考验，也不是简单一句模仿盖里奇或多线叙事就能概括的。特别里面几组的人物都不仅仅是作为结构故事制造笑点等功能性的存在，而是几乎每位出场人物塑造的有头有尾性格鲜明紧扣主线笑果突出，还贴近生活反映现实，这就很难得了，在这方面石头其实做的比烟枪还要好点。,真大很有趣,很精彩，算是里程碑式的作品，带火了同类型的各种电影好几年经久不衰
奇迹男孩,8.6,全部 102080 条,所有人都知道是化妆只有我一个人以为请的真实病人出演吗。。。,其实这更像当代童话，因为，实在是太暖了。里面每个人都那么暖，怎么可以那么暖，怎么可以那么暖！像一个暖心的童话故事。虽然，我也怀疑这样故事的真实性，但是，却喜欢被这样暖的故事感动，一度哭到不行。,秋天排练的话剧春天才会公演，软盘誊抄的论文硬盘才能呈现。你无非是度过了五年级，时间却有魔法经历非凡。躲在卧室里的灵魂最向往蓝天，藏在头盔中的容颜最渴望看见。你其实并没有炸掉死星，楚巴卡会令有些人变得不凡。一杯水能让光影折射，一个男孩能让善良被选择。奥古是杯水，折射出每个人的善意。,"一碗甜而不腻的普世价值鸡汤，非常好喝。

看之前我以为是讲主角小男孩的，原来是章回体，每个人都有故事每个人都有视角每个人都有选择。

每个人都很美很好。

开演前基友给我说这部电影就像夏天一样清新，是啊没错，像泡在透明干净的玻璃瓶中的黄瓜水一样，安心又健康，还有甘甜味。",很久没有一部电影能像《奇迹男孩》那样让我从头哭到尾了。
罗生门,8.8,全部 42090 条,「人对于自己的事不会实话实说，谈他自己的事的时候，不可能不加虚饰。这个剧本描写的就是不加虚饰就活不下去的人的本性。甚至可以这样说：人就算死了也不会放弃虚饰，可见人的罪孽如何之深。这是一幅描绘人与生俱来的罪孽和人难以更改的本性、展示人的利己心的奇妙画卷。诸位说仍然不懂这个剧本，因为,“我听说罗生门里的鬼因为害怕这里人的残忍而逃走。”比起四段论的谎言，乞丐对恶一脸了然于胸与凛然直视的狰狞表情让我浑身发冷，最后那场雨中的逼问竟然把我逼哭了。贫穷逼得善良变成了罪孽，谎言逼得人一步步审问自己无地自容，对错的底线都不再有资格坚守。黑泽续了个光明的尾巴，实在是不得不续。,“住在罗生门这儿的鬼因为害怕人类的凶残而逃走了。”此类电影的开山鼻祖，但相对而言弱于原著不少，但毫无疑问，在50年代能拍出这样的一部电影，带来的震撼可想而知。人性中赤裸裸的谎言、软弱、猜忌和不信任，影片作为一面明镜，直入人心。★★★☆,人类生来就是自私的，在这个故事里没有谁对谁错。谎言＋推翻，即使在近几年这种形式仍旧很时兴。,在那个时代它肯定是一部开创性的好电影，但显然无法取悦现在的观众。所有关于人性的讨论都是以对白给出，并且竟然出自乞丐和樵夫。以三船敏郎为首的几个演员，演技跟《七武士》时期几乎一样表面、浮夸，以及慢半拍。人性部分，相信芥川龙之介的原著剖析得会更深刻。
燃情岁月,8.8,全部 40179 条,我欣赏忠诚于内心，忠诚于野性的灵魂，因为他们坚持自我所付出的代价，我付不起,Tristan非常让人着迷，他是一位真正的自然之子。,又臭又长的电影,看这片时我有一半时间在哭 哭到虚脱……这是美国片 商业片 心甘情愿的被煽情至此 还有它的配乐 放烂了没错 但实在是好 这么通俗入耳的交响曲 当年的彼特真正性感 如骏马 2003，7,被大学生念叨最多的两部电影，一部是《肖申克的救赎》（月黑高飞/刺激1995），一部就这是这个《燃情岁月》（秋日传奇/真爱一世情）了。
终结者2：审判日,8.7,全部 22857 条,少见的超越首部的续集，动作片中的经典~~,液体机器人好帅,这是在1991年啊，重复，这是在1991年啊！,比3强太多了,"詹姆斯卡梅隆的巅峰之作,永远的科幻经典。1.传统模型和化妆特效为主，电脑CG为辅；2.创意十足的最强反派：T-1000；3.施瓦辛格最好的表演；4.兼具动作片的爽快、科幻片的气魄与哲思、喜剧片的爆笑和文艺片的温情；5.机器人学习情感,以机器反思人性,揭示人的自毁倾向；6.""点赞""一幕至为感人。（9.5/10）"
魂断蓝桥,8.8,全部 29709 条,《魂断蓝桥》不愧被誉为电影史上三大凄美不朽爱情影片之一，看过很多遍。,“我爱你，我从未爱过别人。”经典的爱情故事就是无论发生在什么年代，无论是在什么样的文化差异下，都能够唤起大家共鸣的情愫。★★★★,喜欢这部电影的人应该很多。影片描述了第一次世界大战期间，陆军上尉罗伊在休假时偶遇芭蕾舞女郎玛拉，两人一见倾心的浪漫爱情故事。但是残酷的战争改变了人的命运，美妙的爱情也随之化为泡影。观影的过程中体会到悲剧就是把美好的东西毁灭给人看，随着剧情的发展从欢喜到痛苦，还有深深的惋惜。,见一面聊几句就要定终身闪婚？谁给你们俩的勇气，这不是浪漫好吗，这是盲目激情。玛拉也不是真诚，是有心理疾病，当发现自己因为自身原因得不到自己想要的东西，就接受不了自己和现状。,难以想象这部美国电影竟是近80年前拍摄出来，水准之高让人咋舌，观影过程非常投入，纯洁的爱情让人心生感慨，结局之悲哀让人无比痛心，估计当年在电影院赚了不知道多少美国人的眼泪。说回故事，故事脉迹非常简单易懂，一个纯真的女人因爱人之死心灰意冷，落魄到需要出卖自己的肉体，电影在处理这一段时非常含蓄克制，由始至终没有出现过多显眼台词去提醒观众女主角的卖肉事实，可是却让懂的人更为着急，重逢一幕让人感动，最终的...
穿越时空的少女,8.6,全部 56588 条,打多少星都不够,我在未来等你...,我就奇怪她为什么每次回去都是靠滚的,少女因不知道如何面对告白，选择以时空跳跃的方式跳过。最后她才发现，那其实是她生命中最该珍惜的段落。看她大哭着跳跃着，拼命想追回擦肩而过的缘分时，我的少女心咯噔一下发作了。细田守讲了一个很戳人的初恋故事，跟这片一比，“时空恋旅人”简直是块莫名其妙的烂布...,"最后千昭的那句“我在未来等你""足以秒杀一切。 放课后的棒球、蝉鸣、反复跳跃只为吃到一个布丁，缺乏的勇气和自行车一遍遍经过的河堤，所有的一切都融化在那个夏天和你分离。"
爱在午夜降临前,8.8,全部 54419 条,为了看第三部，特意重温了前两部。还把《恋人絮语》找出来读了下。期待第四部Before Death（爱在棺材盒盖时）……,“他们竟然____了”模式开启。从爱情的偶然到爱情的实然，浪漫也终于被相处的实用性取代。“就像日出日落，我们出现，我们消失，可最终只是经过。”那些琐碎的争吵怨念放在时间的河里似乎也就不算什么了。他最后向她朗读了一封40年后的来信——原来前18年还只是序曲，我流泪了...,第一部时还愿意有更多的转换场景，更多的配乐，更多的更像电影的呈现方式。到此时，电影本身就是生活本身。这是导演的野心，也是自信。交谈、争吵与和好，争论与妥协。其实，他们还是18年前那一对年轻的男女。抓住人心的不是电影，永远都是生活本身。,神作！完美！历时18年的最屌三部曲没有之一。俩话痨每隔九年叨叨一个多小时，男主的胡渣+女主的皱纹给予台词无比的润色。累觉不爱人群杀手，夫妻情侣必看典范；音乐、光线和希腊的石头与海完美融合。P.S.近几年最长跨度裸戏～,作为Before的系列路，我终于在中年危机这里转了粉。Sunrise太甜，Sunset偏酸，只有Midnight酸甜苦辣都入了味。数度被台词戳中，我不得不一再提醒自己：那些只是台词，它们不是真的。
初恋这件小事,8.4,全部 164104 条,要不是这狗血的结尾我会打五星的！最让我感动的反而不是初恋了，是这群丑小鸭之间的友谊，让我想起我初中时候的那群小姐妹，“朱古力跳跳队”——谢十三、吴玲、杨秀丽、徐星云、拉链、吴美，还有我，一共七个，傻妞！十二万分怀念那个时候的我们……向青春致敬！,泰国电影是把青春期唯美小清新拍到极致了！,各种狗血...我被评分误导了...,唯独最后一刻他说，我一直等那个人从美国回来，眼泪真要随女主角一样掉下来。可是我，已经不相信这种王子和丑小鸭的故事了呢。要知道，初恋的美好在于，它没有后来。,初恋这件事，谁也逃不过。。再一次被M秒杀>　<
可可西里,8.8,全部 29689 条,看了陆川近年的作品...觉得这片绝壁不是他拍的,只能说陆川选对了题材~~,陆川的寻枪之前看过  没啥感觉 但是这部可可西里 应该向他致敬,带给我的震撼远远超过电影本身,撇开抄袭、媚俗与占据道德制高点的嫌疑，影片本身质量还是没有问题。偏向伪纪录片式的写实主义风格，避免了刻意煽情或戏剧性渲染。摄影极美，表演过硬。流沙段落携带着窒息般的绝望与无言的惊惧；遍地的藏羚羊新鲜骸骨；星空。| 在这里，你留下的每个脚印都有可能是人类留下的第一个脚印。（8.5/10）
2001太空漫游,8.8,全部 51808 条,原作作者克拉克：“如果有人觉得完全弄懂了《太空漫游2001》在讲些什么，那一定是我和库布里克弄错了。”,这不是照着剧本拍的，而是曲谱,"现在这个年代没人敢如此玩观众了。
",人对宇宙的想象力，到此为止。最后半个小时，美到癫狂。本片让我对电影产生敬畏之心。有生之年，不会有任何一部电影能够超越此片。,史上最伟大的装逼片，就连作者克拉克和导演斯坦利都看不懂剧情……不过这丝毫不影响它的伟大，首先在视觉上它领先了同一时代数十年不止，很多星际旅行片都没有给我一种“星际旅行”的感觉，但这部有，关键就在于细节处理细致。还有就是，这部讲述星际旅行的片子拍摄于1968年，而美国登月则在1969
完美陌生人,8.5,全部 107954 条,女主人这个婊啊，睡朋友老公还提议玩看手机的游戏，算准了自己最安全因为这个人不可能当面打给她吧……细思恐极,来啊，互相伤害啊！,人和人的关系有多么的脆弱？你甚至不能给同床的人多看几眼你自己的手机。然而，多少人以亲近关系的名义，忘记了什么叫做界线。人生在世，怎么样才能让感情长久，四个字：难得糊涂。,结局怎么可能是和好，是没有做游戏的平行世界啦，彗星来的那一夜姊妹篇,相爱没有那么容易，每个人有他的手机。过了爱做梦的年纪，轰轰烈烈不如平静。
绿里奇迹,8.8,全部 29930 条,带着满脸的眼泪和鼻涕泡儿看完的,天使也怕黑暗。,耶稣小传,感人.汤姆 汉克斯的演技很牛～,三个小时太长了  抽出时间耐心看还是很触动人心的
小偷家族,8.7,全部 142708 条,如果说爱你，还打你，那一定是说谎；如果爱你，就会像安藤樱一样紧紧抱住你。（沉溺于安藤樱的美色无法自拔,安藤樱那场在警察局双手不停抹眼泪的戏，演技大爆炸，可以说是年度最佳哭戏！,可惜全部的一点点真心，都只能无声地说给自己听。,电影节给了4星，点映二刷改五星。删减只影响心情，不影响剧情。这是一部看着温情，实则让人绝望的电影。六个人，包含人生各个阶段，小女孩也许就是他们的过去，老奶奶也许就是他们的未来。你说这个世界会好吗？这些人从生到死，无人知晓；被弃苟活，步履不停。临时的家人组成羁绊，相互取暖；真正的至亲者却活在谎言之中，不闻不问。就是这样一种“陌路虽有爱，亲者皆祸害”的循环让你心寒至极。,萍水相逢，尽是他乡之客。是枝裕和依旧乐于探讨血缘与亲情究竟有没有必然联系。所谓小偷家族，偷的不止是能填饱肚子的食物，更是一种能够让灵魂产生幸福错觉的情感羁绊。偷生能不能叫偷？如果叫，那我们每个人，或许都是小偷家族的一员。中川雅也追车看得我哭晕，在海边抽了两根烟都没回过神。
牯岭街少年杀人事件,8.8,全部 39609 条,近四个小时的长片，我一直不入戏，张震也青涩得让我无感，直到Honey的出现，我才静了下来。这个小混混里的前老大，竟然穿着海军服，又帅又温和，席地而坐说起他看过的最厚的一本武侠书，叫《战争与和平》，英雄主义浪漫至极致的悲壮。,外国人一定觉得中国人长得都差不多。,那一霎那我什么也没做，只是捅了你一刀。“原来你跟他们一样，对我好就是想改变我。你好可笑啊，你以为你是谁啊？我和这个世界一样是不可改变的…”,杨德昌最好的作品，长镜与叙事完美相结合的力作。,张震小时候好萌...小明同学你好丑
阿飞正传,8.5,全部 65894 条,"在张国荣面前
所有的大牌都黯然失色",物是人非，你是否还记得那一秒，你到底最爱哪一个。刘德华在张国荣面前暗淡无光。,虽然看不太懂，但片中张国荣实在太让人着迷了~~,“我听别人说这世界上有一种鸟是没有脚的，它只能够一直的飞呀飞呀，飞累了就在风里面睡觉，这种鸟一辈子只能下地一次，那一次就是它死的时候。”  “以前我以为有一种鸟从一开始飞就可以飞到死的一天才落地，其实他什么地方都没有去过，这只鸟从一开始就已经死了。” ,我只想知道最后在小阁楼里露脸的梁朝伟代表着什么
无耻混蛋,8.6,全部 63883 条,"放映室里俩人互相枪击那段,音乐配的太好了，我太想钻进去了",这部电影告诉我们：绝对不能相信美国人！,看到女主角对着镜头外的纳粹大笑，简直肾上腺素爆增啊。,Tarantino 真是电影天才.,红衣女子因为恻隐之心送了命，是少数几个正常点的黑色幽默。。。
香水,8.5,全部 79611 条,这简直就是一部资本主义发展史，出生于最肮脏和腐臭的地方，却追求最纯粹的美，通过杀戮得到迷惑人心的力量，就连最痛恨他的人也甘愿俯首称臣，最后犹如寓言一般消失于这个世界......,有人曾告诉我他不顾一切寻找的其实是爱情的味道，爱情也有香吗？他试图拥有世上最奇异圣洁的香水，当世人在广场狂欢，以达爱与欲的颠峰，他却在最后发现他已失去爱人的能力。没有爱情，香味消失了。他仿佛从未存在过。,丫怎么长得那么像郭敬明？！,看到最后原来是个香水广告,假如理解为对自己艺术理想的执着与偏执的话，真的很棒．
谍影重重2,8.6,全部 24145 条,手提摄影，快速剪辑，身体力行，暗藏杀机。间谍动作片由此洗牌,情节步步紧逼，咄咄逼人，丝毫不敢走神。飙车戏份也让观众看的紧张刺激，目不暇接。作为承上启下比较尴尬的第二部，虽然更换了导演，但仍然很好的保留了前作的风格，还加入了一些新的东西。★★★★,专业谍战片就是不一样，各种细节都非常精彩，悬疑揭秘也扣人心弦，却没有靠复杂的要命的剧情,仇恨不知缘起，总有因果业障，于是只好道一声抱歉，原谅我前尘的孽债。节奏惊心动魄，剪辑狠绝凛厉，欲加之罪的亡命特工正面反击，辗转果阿那不勒斯柏林伦敦莫斯科，连环复仇与自证清白，却难以全身而退。两张相片，分别是刻骨铭心的爱和悔。也许非要失去后才会懂，虚惊一场，乃是生活中最美好的词汇。,伯恩可能注定是孤单寂寞冷的，虽然没有华丽的服饰，超酷的装备，美女勾引，但是飙车，搏斗，杀害，也都很精彩。
